prioridad,diseno_origen,productos_afectados,ancho_px,alto_px,severidad,motivo,skus
12,wheel-design-099,6,190,179,critica,resolucion muy baja (<300 px); imagen compartida por 6 productos,OYL260416357 OYL260416358 OYL260416359 OYL260416360 OYL260416361 OYL260416362
13,wheel-design-073,6,198,183,critica,resolucion muy baja (<300 px); imagen compartida por 6 productos,OYL260416276 OYL260416277 OYL260416278 OYL260416279 OYL260416280 OYL260416281
14,wheel-design-070,5,159,148,critica,resolucion muy baja (<300 px); imagen compartida por 5 productos,OYL260416253 OYL260416254 OYL260416255 OYL260416256 OYL260416257
15,wheel-design-104,5,176,39,critica,resolucion muy baja (<300 px); imagen compartida por 5 productos,OYL260416373 OYL260416374 OYL260416375 OYL260416376 OYL260416378
16,wheel-design-079,5,178,172,critica,resolucion muy baja (<300 px); imagen compartida por 5 productos,OYL260416309 OYL260416310 OYL260416311 OYL260416312 OYL260416313
17,wheel-design-076,5,185,184,critica,resolucion muy baja (<300 px); imagen compartida por 5 productos,OYL260416297 OYL260416298 OYL260416299 OYL260416300 OYL260416301
18,wheel-design-045,5,190,179,critica,resolucion muy baja (<300 px); imagen compartida por 5 productos,OYL260416146 OYL260416147 OYL260416148 OYL260416149 OYL260416150
19,wheel-design-055,4,176,149,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416188 OYL260416189 OYL260416190 OYL260416191
20,wheel-design-046,4,186,176,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416151 OYL260416152 OYL260416153 OYL260416154
21,wheel-design-036,4,190,167,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416089 OYL260416090 OYL260416091 OYL260416092
22,wheel-design-051,4,190,165,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416174 OYL260416175 OYL260416176 OYL260416177
23,wheel-design-054,4,199,189,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416184 OYL260416185 OYL260416186 OYL260416187
24,wheel-design-061,4,199,151,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416211 OYL260416212 OYL260416213 OYL260416214
25,wheel-design-082,4,202,194,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416325 OYL260416326 OYL260416327 OYL260416328
26,wheel-design-088,4,202,191,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416339 OYL260416340 OYL260416341 OYL260416342
27,wheel-design-077,4,217,205,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416302 OYL260416303 OYL260416304 OYL260416305
28,wheel-design-053,4,225,213,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416180 OYL260416181 OYL260416182 OYL260416183
29,wheel-design-057,4,230,215,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416194 OYL260416195 OYL260416196 OYL260416197
30,wheel-design-069,4,236,183,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416249 OYL260416250 OYL260416251 OYL260416252
31,wheel-design-064,4,241,211,critica,resolucion muy baja (<300 px); imagen compartida por 4 productos,OYL260416224 OYL260416225 OYL260416226 OYL260416227
32,wheel-design-024,3,158,158,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416049 OYL260416050 OYL260416051
33,wheel-design-034,3,165,160,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416085 OYL260416086 OYL260416087
34,wheel-design-095,3,172,180,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416351 OYL260416352 OYL260416353
35,wheel-design-101,3,179,172,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416364 OYL260416365 OYL260416366
36,wheel-design-025,3,186,160,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416052 OYL260416053 OYL260416054
37,wheel-design-083,3,190,181,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416329 OYL260416330 OYL260416331
38,wheel-design-075,3,192,190,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416294 OYL260416295 OYL260416296
39,wheel-design-067,3,198,144,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416244 OYL260416245 OYL260416246
40,wheel-design-078,3,202,189,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416306 OYL260416307 OYL260416308
41,wheel-design-108,3,204,193,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416387 OYL260416388 OYL260416389
42,wheel-design-106,3,206,192,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416380 OYL260416381 OYL260416382
43,wheel-design-058,3,222,172,critica,resolucion muy baja (<300 px); imagen compartida por 3 productos,OYL260416198 OYL260416199 OYL260416200
44,(ninguno),2,0,0,critica,sin imagen; imagen compartida por 2 productos,OYL260416372 OYL260416377
45,wheel-design-014,2,133,126,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416014 OYL260416015
46,wheel-design-018,2,133,121,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416024 OYL260416025
47,wheel-design-033,2,170,156,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416083 OYL260416084
48,wheel-design-087,2,175,167,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416337 OYL260416338
49,wheel-design-071,2,176,168,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416258 OYL260416259
50,wheel-design-060,2,183,188,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416209 OYL260416210
51,wheel-design-056,2,188,190,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416192 OYL260416193
52,wheel-design-068,2,188,199,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416247 OYL260416248
53,wheel-design-084,2,188,177,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416332 OYL260416333
54,wheel-design-085,2,190,178,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416334 OYL260416335
55,wheel-design-052,2,197,181,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416178 OYL260416179
56,wheel-design-026,2,199,156,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416055 OYL260416056
57,wheel-design-063,2,231,186,critica,resolucion muy baja (<300 px); imagen compartida por 2 productos,OYL260416222 OYL260416223
58,wheel-design-013,1,120,116,critica,resolucion muy baja (<300 px),OYL260416013
59,wheel-design-010,1,128,123,critica,resolucion muy baja (<300 px),OYL260416010
60,wheel-design-009,1,131,128,critica,resolucion muy baja (<300 px),OYL260416009
61,wheel-design-008,1,133,126,critica,resolucion muy baja (<300 px),OYL260416008
62,wheel-design-006,1,138,138,critica,resolucion muy baja (<300 px),OYL260416006
63,wheel-design-007,1,138,131,critica,resolucion muy baja (<300 px),OYL260416007
64,wheel-design-004,1,140,131,critica,resolucion muy baja (<300 px),OYL260416004
65,wheel-design-016,1,141,133,critica,resolucion muy baja (<300 px),OYL260416022
66,wheel-design-028,1,144,142,critica,resolucion muy baja (<300 px),OYL260416058
67,wheel-design-005,1,147,131,critica,resolucion muy baja (<300 px),OYL260416005
68,wheel-design-001,1,151,133,critica,resolucion muy baja (<300 px),OYL260416001
69,wheel-design-097,1,151,146,critica,resolucion muy baja (<300 px),OYL260416355
70,wheel-design-035,1,154,156,critica,resolucion muy baja (<300 px),OYL260416088
71,wheel-design-017,1,156,151,critica,resolucion muy baja (<300 px),OYL260416023
72,wheel-design-021,1,156,151,critica,resolucion muy baja (<300 px),OYL260416040
73,wheel-design-003,1,158,147,critica,resolucion muy baja (<300 px),OYL260416003
74,wheel-design-022,1,160,147,critica,resolucion muy baja (<300 px),OYL260416041
75,wheel-design-032,1,163,156,critica,resolucion muy baja (<300 px),OYL260416082
76,wheel-design-002,1,167,248,critica,resolucion muy baja (<300 px),OYL260416002
77,wheel-design-012,1,167,154,critica,resolucion muy baja (<300 px),OYL260416012
78,wheel-design-031,1,167,156,critica,resolucion muy baja (<300 px),OYL260416081
79,wheel-design-093,1,168,155,critica,resolucion muy baja (<300 px),OYL260416349
80,wheel-design-096,1,168,160,critica,resolucion muy baja (<300 px),OYL260416354
81,wheel-design-098,1,168,161,critica,resolucion muy baja (<300 px),OYL260416356
82,wheel-design-100,1,170,83,critica,resolucion muy baja (<300 px),OYL260416363
83,wheel-design-037,1,183,163,critica,resolucion muy baja (<300 px),OYL260416093
84,wheel-design-092,1,189,176,critica,resolucion muy baja (<300 px),OYL260416348
85,wheel-design-027,1,190,167,critica,resolucion muy baja (<300 px),OYL260416057
86,wheel-design-090,1,198,189,critica,resolucion muy baja (<300 px),OYL260416346
87,wheel-design-091,1,198,186,critica,resolucion muy baja (<300 px),OYL260416347
88,wheel-design-109,1,198,183,critica,resolucion muy baja (<300 px),OYL260416390
89,wheel-design-094,1,204,191,critica,resolucion muy baja (<300 px),OYL260416350
90,wheel-design-080,1,207,192,critica,resolucion muy baja (<300 px),OYL260416314
91,wheel-design-086,1,207,198,critica,resolucion muy baja (<300 px),OYL260416336
92,wheel-design-074,12,728,678,alta,resolucion baja (<800 px); imagen compartida por 12 productos,OYL260416282 OYL260416283 OYL260416284 OYL260416285 OYL260416286 OYL260416287 OYL260416288 OYL260416289 OYL260416290 OYL260416291 OYL260416292 OYL260416293
93,wheel-design-059,8,624,591,alta,resolucion baja (<800 px); imagen compartida por 8 productos,OYL260416201 OYL260416202 OYL260416203 OYL260416204 OYL260416205 OYL260416206 OYL260416207 OYL260416208
94,wheel-design-113,6,352,325,alta,resolucion baja (<800 px); imagen compartida por 6 productos,OYL260416397 OYL260416398 OYL260416399 OYL260416400 OYL260416401 OYL260416402
95,wheel-design-119,4,335,310,alta,resolucion baja (<800 px); imagen compartida por 4 productos,OYL260416416 OYL260416417 OYL260416418 OYL260416419
96,wheel-design-117,4,343,315,alta,resolucion baja (<800 px); imagen compartida por 4 productos,OYL260416408 OYL260416409 OYL260416410 OYL260416411
97,wheel-design-118,4,347,303,alta,resolucion baja (<800 px); imagen compartida por 4 productos,OYL260416412 OYL260416413 OYL260416414 OYL260416415
98,wheel-design-107,4,619,593,alta,resolucion baja (<800 px); imagen compartida por 4 productos,OYL260416383 OYL260416384 OYL260416385 OYL260416386
99,wheel-design-124,4,634,596,alta,resolucion baja (<800 px); imagen compartida por 4 productos,OYL260416426 OYL260416427 OYL260416428 OYL260416429
100,wheel-design-110,3,351,300,alta,resolucion baja (<800 px); imagen compartida por 3 productos,OYL260416391 OYL260416392 OYL260416393
101,wheel-design-089,3,484,462,alta,resolucion baja (<800 px); imagen compartida por 3 productos,OYL260416343 OYL260416344 OYL260416345
102,wheel-design-103,3,630,600,alta,resolucion baja (<800 px); imagen compartida por 3 productos,OYL260416369 OYL260416370 OYL260416371
103,wheel-design-114,2,327,304,alta,resolucion baja (<800 px); imagen compartida por 2 productos,OYL260416403 OYL260416404
104,wheel-design-116,2,331,317,alta,resolucion baja (<800 px); imagen compartida por 2 productos,OYL260416406 OYL260416407
105,wheel-design-129,2,513,476,alta,resolucion baja (<800 px); imagen compartida por 2 productos,OYL260416436 OYL260416437
106,wheel-design-102,2,620,591,alta,resolucion baja (<800 px); imagen compartida por 2 productos,OYL260416367 OYL260416368
107,wheel-design-126,2,641,595,alta,resolucion baja (<800 px); imagen compartida por 2 productos,OYL260416432 OYL260416433
108,wheel-design-111,2,663,628,alta,resolucion baja (<800 px); imagen compartida por 2 productos,OYL260416394 OYL260416395
109,wheel-design-121,2,718,672,alta,resolucion baja (<800 px); imagen compartida por 2 productos,OYL260416421 OYL260416422
110,wheel-design-122,2,725,671,alta,resolucion baja (<800 px); imagen compartida por 2 productos,OYL260416423 OYL260416424
111,wheel-design-115,1,341,318,alta,resolucion baja (<800 px),OYL260416405
112,wheel-design-128,1,508,503,alta,resolucion baja (<800 px),OYL260416435
113,wheel-design-123,1,578,555,alta,resolucion baja (<800 px),OYL260416425
114,wheel-design-127,1,625,592,alta,resolucion baja (<800 px),OYL260416434
115,wheel-design-105,1,628,592,alta,resolucion baja (<800 px),OYL260416379
116,wheel-design-120,1,666,615,alta,resolucion baja (<800 px),OYL260416420
117,wheel-design-112,1,673,630,alta,resolucion baja (<800 px),OYL260416396
118,wheel-design-011,1,675,681,alta,resolucion baja (<800 px),OYL260416011
119,wheel-design-041,13,893,890,media,resolucion mejorable (<1600 px); imagen compartida por 13 productos,OYL260416113 OYL260416114 OYL260416115 OYL260416116 OYL260416117 OYL260416118 OYL260416119 OYL260416120 OYL260416121 OYL260416122 OYL260416123 OYL260416124 OYL260416125
120,wheel-design-044,11,882,868,media,resolucion mejorable (<1600 px); imagen compartida por 11 productos,OYL260416135 OYL260416136 OYL260416137 OYL260416138 OYL260416139 OYL260416140 OYL260416141 OYL260416142 OYL260416143 OYL260416144 OYL260416145
121,wheel-design-040,9,916,873,media,resolucion mejorable (<1600 px); imagen compartida por 9 productos,OYL260416104 OYL260416105 OYL260416106 OYL260416107 OYL260416108 OYL260416109 OYL260416110 OYL260416111 OYL260416112
122,wheel-design-043,8,908,888,media,resolucion mejorable (<1600 px); imagen compartida por 8 productos,OYL260416127 OYL260416128 OYL260416129 OYL260416130 OYL260416131 OYL260416132 OYL260416133 OYL260416134
123,wheel-design-038,8,927,899,media,resolucion mejorable (<1600 px); imagen compartida por 8 productos,OYL260416094 OYL260416095 OYL260416096 OYL260416097 OYL260416098 OYL260416099 OYL260416100 OYL260416101
124,wheel-design-048,7,897,906,media,resolucion mejorable (<1600 px); imagen compartida por 7 productos,OYL260416157 OYL260416158 OYL260416159 OYL260416160 OYL260416161 OYL260416162 OYL260416163
125,wheel-design-049,7,915,873,media,resolucion mejorable (<1600 px); imagen compartida por 7 productos,OYL260416164 OYL260416165 OYL260416166 OYL260416167 OYL260416168 OYL260416169 OYL260416170
126,wheel-design-050,3,892,930,media,resolucion mejorable (<1600 px); imagen compartida por 3 productos,OYL260416171 OYL260416172 OYL260416173
127,wheel-design-130,2,888,849,media,resolucion mejorable (<1600 px); imagen compartida por 2 productos,OYL260416438 OYL260416439
128,wheel-design-039,2,890,899,media,resolucion mejorable (<1600 px); imagen compartida por 2 productos,OYL260416102 OYL260416103
129,wheel-design-125,2,921,841,media,resolucion mejorable (<1600 px); imagen compartida por 2 productos,OYL260416430 OYL260416431
130,wheel-design-047,2,929,916,media,resolucion mejorable (<1600 px); imagen compartida por 2 productos,OYL260416155 OYL260416156
131,wheel-design-042,1,910,902,media,resolucion mejorable (<1600 px),OYL260416126
