prioridad,marca,familia_modelo,productos_afectados,pcd_observados,diametros_observados,et_min_observado,et_max_observado,bujes_observados,estado_verificacion,skus
11,Mercedes-Benz,(sin modelo),10,5x112,"19,20,21",38,45,"66.45,66.5,66.56",pendiente_datos_propietario,OYL260416026 OYL260416027 OYL260416028 OYL260416029 OYL260416030 OYL260416031 OYL260416034 OYL260416035 OYL260416036 OYL260416037
12,Mercedes-Benz,S级新,9,5x112,"18,19,20",36,43,66.5,pendiente_datos_propietario,OYL260416104 OYL260416105 OYL260416106 OYL260416107 OYL260416108 OYL260416109 OYL260416110 OYL260416111 OYL260416112
13,BMW,7系,8,"5x112,5x120","17,20,21",24,44,"66.5,72.6",pendiente_datos_propietario,OYL260416164 OYL260416165 OYL260416166 OYL260416167 OYL260416168 OYL260416169 OYL260416170 OYL260416314
14,Mercedes-Benz,S级老 迈巴赫,8,5x112,"18,19,20,21",36,48,66.5,pendiente_datos_propietario,OYL260416215 OYL260416217 OYL260416218 OYL260416219 OYL260416220 OYL260416221 OYL260416222 OYL260416223
15,Mercedes-Benz,S级贴AMG标,8,5x112,"18,19,20,21",34,48,66.5,pendiente_datos_propietario,OYL260416127 OYL260416128 OYL260416129 OYL260416130 OYL260416131 OYL260416132 OYL260416133 OYL260416134
16,(sin marca),Consultar,7,5x112,"17,18,20,21",35,40,"66.45,66.5,66.6",pendiente_datos_propietario,OYL260416095 OYL260416098 OYL260416117 OYL260416358 OYL260416375 OYL260416376 OYL260416378
17,BMW,(sin modelo),6,"5x112,5x120","18,19",30,35,"66.5,72.6",pendiente_datos_propietario,OYL260416065 OYL260416066 OYL260416302 OYL260416303 OYL260416304 OYL260416305
18,BMW,X5X6,6,"5x112,5x120","20,22",37,43,"66.5,74.1",pendiente_datos_propietario,OYL260416051 OYL260416052 OYL260416053 OYL260416054 OYL260416155 OYL260416156
19,Mercedes-Benz,AMG G63-2025/改,6,"5x112,5x130","20,22",36,43,"66.5,84.1",pendiente_datos_propietario,OYL260416397 OYL260416398 OYL260416399 OYL260416400 OYL260416401 OYL260416402
20,BMW,*5后轮,5,"5x112,5x120",20,35,37,"66.6,74.1",pendiente_datos_propietario,OYL260416024 OYL260416025 OYL260416044 OYL260416046 OYL260416048
