diseno_compartido,productos_en_el_grupo,acabados_distintos_en_el_grupo,acabado_codigo,productos_con_este_acabado,diametros_del_grupo,gravedad,accion,skus
wheel-design-074,12,2,mb,5,"18,19,20",media,foto propia por acabado,OYL260416282 OYL260416284 OYL260416286 OYL260416287 OYL260416288
wheel-design-079,5,2,b,3,"19,20",media,foto propia por acabado,OYL260416309 OYL260416310 OYL260416313
wheel-design-079,5,2,matte black,2,"19,20",media,foto propia por acabado,OYL260416311 OYL260416312
wheel-design-081,10,2,b,9,"18,19,20",media,foto propia por acabado,OYL260416315 OYL260416316 OYL260416317 OYL260416318 OYL260416320 OYL260416321 OYL260416322 OYL260416323 OYL260416324
wheel-design-081,10,2,mb,1,"18,19,20",media,foto propia por acabado,OYL260416319
wheel-design-082,4,2,b,2,20,media,foto propia por acabado,OYL260416327 OYL260416328
wheel-design-082,4,2,mg,2,20,media,foto propia por acabado,OYL260416325 OYL260416326
wheel-design-088,4,2,b,2,"19,20",media,foto propia por acabado,OYL260416340 OYL260416342
wheel-design-088,4,2,mb,2,"19,20",media,foto propia por acabado,OYL260416339 OYL260416341
wheel-design-101,3,3,matte black,1,"20,22",alta,foto propia por acabado,OYL260416364
wheel-design-101,3,3,mbi+c,1,"20,22",alta,foto propia por acabado,OYL260416365
wheel-design-101,3,3,w,1,"20,22",alta,foto propia por acabado,OYL260416366
wheel-design-104,5,3,mb,1,"20,21",alta,foto propia por acabado,OYL260416373
wheel-design-104,5,3,ms,1,"20,21",alta,foto propia por acabado,OYL260416374
wheel-design-104,5,3,sgmf,3,"20,21",alta,foto propia por acabado,OYL260416375 OYL260416376 OYL260416378
wheel-design-106,3,2,mb,2,"18,19",media,foto propia por acabado,OYL260416380 OYL260416382
wheel-design-106,3,2,smh,1,"18,19",media,foto propia por acabado,OYL260416381
wheel-design-113,6,3,matt black machined,1,"20,22",alta,foto propia por acabado,OYL260416402
wheel-design-113,6,3,mb,3,"20,22",alta,foto propia por acabado,OYL260416397 OYL260416398 OYL260416401
wheel-design-113,6,3,mg,2,"20,22",alta,foto propia por acabado,OYL260416399 OYL260416400
wheel-design-117,4,2,mb,2,20,media,foto propia por acabado,OYL260416409 OYL260416411
wheel-design-117,4,2,mg,2,20,media,foto propia por acabado,OYL260416408 OYL260416410
wheel-design-118,4,2,gmf+chromeinsert,2,21,media,foto propia por acabado,OYL260416414 OYL260416415
wheel-design-118,4,2,mb,2,21,media,foto propia por acabado,OYL260416412 OYL260416413
