prioridad,marca,familia_modelo,productos_afectados,pcd_observados,diametros_observados,et_min_observado,et_max_observado,bujes_observados,estado_verificacion,skus
11,Mercedes-Benz,(sin modelo),10,5x112,"19,20,21",38,45,"66.45,66.5,66.56",pendiente_datos_propietario,OYL260416026 OYL260416027 OYL260416028 OYL260416029 OYL260416030 OYL260416031 OYL260416034 OYL260416035 OYL260416036 OYL260416037
12,Mercedes-Benz,S级新,9,5x112,"18,19,20",36,43,66.5,pendiente_datos_propietario,OYL260416104 OYL260416105 OYL260416106 OYL260416107 OYL260416108 OYL260416109 OYL260416110 OYL260416111 OYL260416112
13,BMW,7系,8,"5x112,5x120","17,20,21",24,44,"66.5,72.6",pendiente_datos_propietario,OYL260416164 OYL260416165 OYL260416166 OYL260416167 OYL260416168 OYL260416169 OYL260416170 OYL260416314
14,Mercedes-Benz,S级老 迈巴赫,8,5x112,"18,19,20,21",36,48,66.5,pendiente_datos_propietario,OYL260416215 OYL260416217 OYL260416218 OYL260416219 OYL260416220 OYL260416221 OYL260416222 OYL260416223
15,Mercedes-Benz,S级贴AMG标,8,5x112,"18,19,20,21",34,48,66.5,pendiente_datos_propietario,OYL260416127 OYL260416128 OYL260416129 OYL260416130 OYL260416131 OYL260416132 OYL260416133 OYL260416134
16,(sin marca),Consultar,7,5x112,"17,18,20,21",35,40,"66.45,66.5,66.6",pendiente_datos_propietario,OYL260416095 OYL260416098 OYL260416117 OYL260416358 OYL260416375 OYL260416376 OYL260416378
17,BMW,(sin modelo),6,"5x112,5x120","18,19",30,35,"66.5,72.6",pendiente_datos_propietario,OYL260416065 OYL260416066 OYL260416302 OYL260416303 OYL260416304 OYL260416305
18,BMW,X5X6,6,"5x112,5x120","20,22",37,43,"66.5,74.1",pendiente_datos_propietario,OYL260416051 OYL260416052 OYL260416053 OYL260416054 OYL260416155 OYL260416156
19,Mercedes-Benz,AMG G63-2025/改,6,"5x112,5x130","20,22",36,43,"66.5,84.1",pendiente_datos_propietario,OYL260416397 OYL260416398 OYL260416399 OYL260416400 OYL260416401 OYL260416402
20,BMW,*5后轮,5,"5x112,5x120",20,35,37,"66.6,74.1",pendiente_datos_propietario,OYL260416024 OYL260416025 OYL260416044 OYL260416046 OYL260416048
21,BMW,1/2/3系,5,5x120,"19,20",30,40,72.6,pendiente_datos_propietario,OYL260416309 OYL260416310 OYL260416311 OYL260416312 OYL260416313
22,Mercedes-Benz,AMG C63S/改,5,5x112,"17,18,19,20",35,43,66.5,pendiente_datos_propietario,OYL260416357 OYL260416359 OYL260416360 OYL260416361 OYL260416362
23,Mercedes-Benz,S级老 迈巴赫威霆,5,5x112,"19,20",36,43,66.5,pendiente_datos_propietario,OYL260416146 OYL260416147 OYL260416148 OYL260416149 OYL260416150
24,Audi,Q8,4,5x112,"19,20,22,23",20,35,"66.45,66.5",pendiente_datos_propietario,OYL260416102 OYL260416103 OYL260416258 OYL260416259
25,Audi,RS5 Avant-2025/改,4,5x112,"19,20,21",25,35,66.45,pendiente_datos_propietario,OYL260416372 OYL260416373 OYL260416374 OYL260416377
26,BMW,*5前轮,4,"5x112,5x120",20,35,40,"66.5,66.6,74.1",pendiente_datos_propietario,OYL260416042 OYL260416043 OYL260416045 OYL260416047
27,BMW,3系-2025,4,5x112,19,27,40,66.5,pendiente_datos_propietario,OYL260416421 OYL260416422 OYL260416423 OYL260416424
28,BMW,530Li-2025(尊享型M运动),4,5x112,20,28,46,66.5,pendiente_datos_propietario,OYL260416408 OYL260416409 OYL260416410 OYL260416411
29,BMW,740Li-2023(领先/尊享豪华版),4,5x112,21,24,44,66.5,pendiente_datos_propietario,OYL260416412 OYL260416413 OYL260416414 OYL260416415
30,BMW,M/改,4,"5x112,5x120","18,20",25,35,"66.5,72.56",pendiente_datos_propietario,OYL260416290 OYL260416291 OYL260416315 OYL260416316
31,BMW,M5新能源-2025/改,4,"5x112,5x120","19,20",25,40,"66.5,72.6",pendiente_datos_propietario,OYL260416339 OYL260416340 OYL260416341 OYL260416342
32,BMW,X3-2023/改,4,5x112,20,27,43,66.5,pendiente_datos_propietario,OYL260416325 OYL260416326 OYL260416327 OYL260416328
33,Mercedes-Benz,AMG,4,5x112,"19,20",36,43,66.5,pendiente_datos_propietario,OYL260416383 OYL260416384 OYL260416385 OYL260416386
34,Mercedes-Benz,AMG GLE53-2025/改,4,5x112,"21,22",47,56,66.5,pendiente_datos_propietario,OYL260416416 OYL260416417 OYL260416418 OYL260416419
35,Mercedes-Benz,C43,4,5x112,"19,20",36,42,66.5,pendiente_datos_propietario,OYL260416180 OYL260416181 OYL260416182 OYL260416183
36,Mercedes-Benz,E/S级/改,4,5x112,"19,20",36,43,66.5,pendiente_datos_propietario,OYL260416426 OYL260416427 OYL260416428 OYL260416429
37,Mercedes-Benz,S级老 迈巴赫 威霆,4,5x112,"19,20",36,43,66.5,pendiente_datos_propietario,OYL260416151 OYL260416152 OYL260416153 OYL260416154
38,Mercedes-Benz,迈巴赫改装,4,5x112,"19,20,21",34,48,66.5,pendiente_datos_propietario,OYL260416194 OYL260416195 OYL260416196 OYL260416197
39,Volkswagen,全系,4,"5x100,5x112","17,18",35,35,57.1,pendiente_datos_propietario,OYL260416174 OYL260416175 OYL260416178 OYL260416179
40,(sin marca),改装,3,5x114.3,"18,19",35,35,73.1,pendiente_datos_propietario,OYL260416017 OYL260416019 OYL260416210
41,Audi,A4,3,5x112,17,35,35,66.45,pendiente_datos_propietario,OYL260416059 OYL260416060 OYL260416188
42,Audi,A8,3,5x112,"19,20,21",30,35,66.45,pendiente_datos_propietario,OYL260416020 OYL260416021 OYL260416190
43,BMW,X7,3,"5x112,5x120","21,22",38,43,"66.5,74.1",pendiente_datos_propietario,OYL260416211 OYL260416247 OYL260416248
44,Mercedes-Benz,AMG CLE53-2024-25/改,3,5x112,"19,20",36,43,66.5,pendiente_datos_propietario,OYL260416387 OYL260416388 OYL260416389
45,Mercedes-Benz,AMG CLS欧版/改装,3,5x112,"18,19",36,43,66.5,pendiente_datos_propietario,OYL260416306 OYL260416307 OYL260416308
46,Mercedes-Benz,AMG GT-2024/E350/改；,3,5x112,"19,20",36,43,66.5,pendiente_datos_propietario,OYL260416391 OYL260416392 OYL260416393
47,Mercedes-Benz,C级,3,"5x112,5x114.3",18,38,40,"66.5,73.1",pendiente_datos_propietario,OYL260416244 OYL260416245 OYL260416246
48,Mercedes-Benz,E级/S级/改,3,5x112,"19,20",36,43,66.5,pendiente_datos_propietario,OYL260416343 OYL260416344 OYL260416345
49,Mercedes-Benz,E级海外版/改,3,5x112,"19,20",36,43,66.5,pendiente_datos_propietario,OYL260416351 OYL260416352 OYL260416353
50,Mercedes-Benz,迈巴赫,3,5x112,"18,19",36,43,66.5,pendiente_datos_propietario,OYL260416294 OYL260416295 OYL260416296
51,Volkswagen,CC海外版19寸改18/改,3,5x112,"17,19,20",35,40,57.1,pendiente_datos_propietario,OYL260416329 OYL260416330 OYL260416331
52,Volkswagen,Passat,3,5x112,18,44,48,57.1,pendiente_datos_propietario,OYL260416002 OYL260416007 OYL260416010
53,Volkswagen,途观/高尔夫8 R-line/改,3,5x112,"18,19",35,35,57.1,pendiente_datos_propietario,OYL260416380 OYL260416381 OYL260416382
54,Audi,(sin modelo),2,5x112,"18,19",35,35,"66.45,66.5",pendiente_datos_propietario,OYL260416018 OYL260416055
55,Audi,A3,2,5x112,19,35,35,66.45,pendiente_datos_propietario,OYL260416056 OYL260416057
56,Audi,A6 Avant 海外版-2025/改）,2,5x112,"20,21",25,35,66.5,pendiente_datos_propietario,OYL260416367 OYL260416368
57,Audi,A6L,2,5x112,"17,18",38,39,"66.45,66.5",pendiente_datos_propietario,OYL260416003 OYL260416004
58,Audi,Q7,2,5x112,"20,22",20,30,"66.45,66.5",pendiente_datos_propietario,OYL260416192 OYL260416193
59,Audi,RS3/改,2,5x112,"19,20",30,40,66.45,pendiente_datos_propietario,OYL260416334 OYL260416335
60,Audi,SQ5/SQ7-2025/改,2,5x112,"21,22",25,25,66.5,pendiente_datos_propietario,OYL260416370 OYL260416371
61,BMW,530Li-2025(尊享型M运动)BMW 520d-2024欧版,2,5x112,20,28,46,66.5,pendiente_datos_propietario,OYL260416430 OYL260416431
62,BMW,540i-2025(加拿大版)/改,2,5x112,20,28,46,66.5,pendiente_datos_propietario,OYL260416438 OYL260416439
63,BMW,540i/改,2,5x112,20,30,35,66.5,pendiente_datos_propietario,OYL260416337 OYL260416338
64,BMW,730Li,2,"5x112,5x120","18,19",31,39,"66.5,72.6",pendiente_datos_propietario,OYL260416023 OYL260416348
65,BMW,M4 鸟巢,2,5x120,17,25,25,72.6,pendiente_datos_propietario,OYL260416253 OYL260416254
66,BMW,M4/改,2,5x120,20,30,35,72.56,pendiente_datos_propietario,OYL260416207 OYL260416208
67,BMW,M5-2021/改装,2,"5x112,5x120",19,35,35,"66.5,72.6",pendiente_datos_propietario,OYL260416184 OYL260416185
68,BMW,X3-2025/改,2,5x112,20,24,44,66.5,pendiente_datos_propietario,OYL260416403 OYL260416404
69,BMW,X4 M40i-2022/改,2,5x112,20,27,43,66.5,pendiente_datos_propietario,OYL260416406 OYL260416407
70,BMW,改装,2,"5x112,5x120",20,25,40,"66.5,72.6",pendiente_datos_propietario,OYL260416186 OYL260416187
71,Mercedes-Benz,E/S/改,2,5x112,20,36,43,66.5,pendiente_datos_propietario,OYL260416394 OYL260416395
72,Mercedes-Benz,EQS AMG-2024/改,2,5x112,21,30,48,66.5,pendiente_datos_propietario,OYL260416332 OYL260416333
73,Mercedes-Benz,G500,2,5x130,22,35,35,84.1,pendiente_datos_propietario,OYL260416038 OYL260416039
74,Mercedes-Benz,GLS/GLE 450豪华版-2025,2,5x112,"21,22",42,47,66.5,pendiente_datos_propietario,OYL260416432 OYL260416433
75,Volkswagen,(VWMagotan-2024/2025/改）,2,5x112,19,38,38,57.1,pendiente_datos_propietario,OYL260416176 OYL260416177
76,Volkswagen,/ 改,2,5x112,"18,19",40,40,57.1,pendiente_datos_propietario,OYL260416436 OYL260416437
77,Audi,/改,1,5x112,20,40,40,66.45,pendiente_datos_propietario,OYL260416336
78,Audi,A4/A6/改装车型,1,5x112,18,35,35,66.45,pendiente_datos_propietario,OYL260416189
79,Audi,A4/改装车型,1,5x112,17,35,35,66.45,pendiente_datos_propietario,OYL260416016
80,Audi,A4L,1,5x112,19,40,40,66.5,pendiente_datos_propietario,OYL260416363
81,Audi,A6A8,1,5x112,19,35,35,66.45,pendiente_datos_propietario,OYL260416062
82,Audi,Q5,1,5x112,19,39,39,66.45,pendiente_datos_propietario,OYL260416350
83,Audi,RS3 Sportback-2025/改,1,5x112,19,35,35,66.5,pendiente_datos_propietario,OYL260416396
84,Audi,RS7,1,5x112,19,35,35,66.45,pendiente_datos_propietario,OYL260416009
85,Audi,S3-2021-22海外版/改）,1,5x112,20,30,30,66.45,pendiente_datos_propietario,OYL260416379
86,Audi,S5,1,5x112,20,30,30,66.45,pendiente_datos_propietario,OYL260416369
87,BMW,3系前轮 2019,1,5x120,18,34,34,72.6,pendiente_datos_propietario,OYL260416014
88,BMW,3系后轮 2019,1,5x120,18,47,47,72.6,pendiente_datos_propietario,OYL260416015
89,BMW,740/改,1,5x120,19,39,39,72.6,pendiente_datos_propietario,OYL260416347
90,BMW,i5,1,5x112,20,46,46,66.5,pendiente_datos_propietario,OYL260416420
91,Mercedes-Benz,AMG GLE Coupe-2024/ 改,1,5x112,22,53,53,66.5,pendiente_datos_propietario,OYL260416425
92,Mercedes-Benz,C200,1,5x112,17,48,48,66.5,pendiente_datos_propietario,OYL260416006
93,Mercedes-Benz,CLA200,1,5x112,18,52,52,66.5,pendiente_datos_propietario,OYL260416346
94,Mercedes-Benz,C级 威霆,1,5x112,18,45,45,66.5,pendiente_datos_propietario,OYL260416011
95,Mercedes-Benz,GLC,1,5x112,19,38,38,66.5,pendiente_datos_propietario,OYL260416126
96,Mercedes-Benz,S350,1,5x112,18,43,43,66.5,pendiente_datos_propietario,OYL260416001
97,Mercedes-Benz,S级老 迈巴赫(球）,1,5x112,18,43,43,66.5,pendiente_datos_propietario,OYL260416216
98,Volkswagen,CC黄金海岸版,1,5x112,19,40,40,57.1,pendiente_datos_propietario,OYL260416354
99,Volkswagen,Magotan,1,5x112,18,44,44,57.1,pendiente_datos_propietario,OYL260416008
100,Volkswagen,Passat领驭 2005,1,5x112,16,45,45,57.1,pendiente_datos_propietario,OYL260416005
101,Volkswagen,揽境-2021-2024,1,5x112,21,34,34,57.1,pendiente_datos_propietario,OYL260416356
102,Volkswagen,西雅特Seat Cupra/改,1,5x112,18,40,40,57.1,pendiente_datos_propietario,OYL260416434
103,Volkswagen,途岳,1,5x112,18,45,45,57.1,pendiente_datos_propietario,OYL260416012
104,Volkswagen,途观L/途观X-2021-2025,1,5x112,19,40,40,57.1,pendiente_datos_propietario,OYL260416355
105,Volkswagen,速腾-2023,1,5x112,17,46,46,57.1,pendiente_datos_propietario,OYL260416349
106,Volkswagen,高尔夫GTI / 改,1,5x112,18,40,40,57.1,pendiente_datos_propietario,OYL260416435
107,Volkswagen,高尔夫GTI-2025/改,1,5x112,18,40,40,57.1,pendiente_datos_propietario,OYL260416405
108,Volkswagen,高尔夫R海外版-2025/改,1,5x112,17,38,38,57.1,pendiente_datos_propietario,OYL260416390
