sku,product_id,handle,estado_media,url_origen,archivo
OYL260416193,gid://shopify/Product/10898632802637,oyl260416193-22-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-056.jpg,wheel-design-056.jpg
OYL260416195,gid://shopify/Product/10898632900941,oyl260416195-20-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-057.png,wheel-design-057.png
OYL260416206,gid://shopify/Product/10898633523533,oyl260416206-20-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-059.png,wheel-design-059.png
OYL260416207,gid://shopify/Product/10898633589069,oyl260416207-20-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-059.png,wheel-design-059.png
OYL260416208,gid://shopify/Product/10898633654605,oyl260416208-20-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-059.png,wheel-design-059.png
OYL260416213,gid://shopify/Product/10898633916749,oyl260416213-22-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-061.png,wheel-design-061.png
OYL260416221,gid://shopify/Product/10898634375501,oyl260416221-21-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-062.png,wheel-design-062.png
OYL260416231,gid://shopify/Product/10898634899789,oyl260416231-22-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-065.jpg,wheel-design-065.jpg
OYL260416238,gid://shopify/Product/10898635194701,oyl260416238-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-066.jpg,wheel-design-066.jpg
OYL260416246,gid://shopify/Product/10898635522381,oyl260416246-18-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-067.jpg,wheel-design-067.jpg
OYL260416247,gid://shopify/Product/10898635555149,oyl260416247-22-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-068.jpg,wheel-design-068.jpg
OYL260416250,gid://shopify/Product/10898635751757,oyl260416250-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-069.jpg,wheel-design-069.jpg
OYL260416260,gid://shopify/Product/10898636374349,oyl260416260-19-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-072.jpg,wheel-design-072.jpg
OYL260416266,gid://shopify/Product/10898636996941,oyl260416266-21-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-072.jpg,wheel-design-072.jpg
OYL260416269,gid://shopify/Product/10898637259085,oyl260416269-21-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-072.jpg,wheel-design-072.jpg
OYL260416271,gid://shopify/Product/10898637357389,oyl260416271-22-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-072.jpg,wheel-design-072.jpg
OYL260416272,gid://shopify/Product/10898637390157,oyl260416272-22-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-072.jpg,wheel-design-072.jpg
OYL260416276,gid://shopify/Product/10898637783373,oyl260416276-18-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-073.png,wheel-design-073.png
OYL260416278,gid://shopify/Product/10898637881677,oyl260416278-20-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-073.png,wheel-design-073.png
OYL260416279,gid://shopify/Product/10898637947213,oyl260416279-20-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-073.png,wheel-design-073.png
OYL260416280,gid://shopify/Product/10898638012749,oyl260416280-21-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-073.png,wheel-design-073.png
OYL260416284,gid://shopify/Product/10898638242125,oyl260416284-18-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-074.png,wheel-design-074.png
OYL260416290,gid://shopify/Product/10898638668109,oyl260416290-20-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-074.png,wheel-design-074.png
OYL260416294,gid://shopify/Product/10898638897485,oyl260416294-18-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-075.jpg,wheel-design-075.jpg
OYL260416299,gid://shopify/Product/10898639126861,oyl260416299-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-076.jpg,wheel-design-076.jpg
OYL260416302,gid://shopify/Product/10898639290701,oyl260416302-18-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-077.png,wheel-design-077.png
OYL260416303,gid://shopify/Product/10898639323469,oyl260416303-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-077.png,wheel-design-077.png
OYL260416308,gid://shopify/Product/10898639651149,oyl260416308-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-078.png,wheel-design-078.png
OYL260416311,gid://shopify/Product/10898639782221,oyl260416311-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-079.png,wheel-design-079.png
OYL260416312,gid://shopify/Product/10898639847757,oyl260416312-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-079.png,wheel-design-079.png
OYL260416317,gid://shopify/Product/10898640077133,oyl260416317-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-081.png,wheel-design-081.png
OYL260416325,gid://shopify/Product/10898640535885,oyl260416325-20-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-082.png,wheel-design-082.png
OYL260416330,gid://shopify/Product/10898640830797,oyl260416330-19-volkswagen,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-083.png,wheel-design-083.png
OYL260416339,gid://shopify/Product/10898641322317,oyl260416339-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-088.png,wheel-design-088.png
OYL260416347,gid://shopify/Product/10898641748301,oyl260416347-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-091.png,wheel-design-091.png
OYL260416348,gid://shopify/Product/10898641781069,oyl260416348-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-092.png,wheel-design-092.png
OYL260416349,gid://shopify/Product/10898641846605,oyl260416349-17-volkswagen,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-093.png,wheel-design-093.png
OYL260416355,gid://shopify/Product/10898642239821,oyl260416355-19-volkswagen,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-097.png,wheel-design-097.png
OYL260416357,gid://shopify/Product/10898642338125,oyl260416357-17-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-099.png,wheel-design-099.png
OYL260416364,gid://shopify/Product/10898642698573,oyl260416364-20-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-101.png,wheel-design-101.png
OYL260416367,gid://shopify/Product/10898642829645,oyl260416367-20-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-102.png,wheel-design-102.png
OYL260416372,gid://shopify/Product/10898643157325,oyl260416372-19-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-104.png,wheel-design-104.png
OYL260416377,gid://shopify/Product/10898643419469,oyl260416377-21-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-104.png,wheel-design-104.png
OYL260416384,gid://shopify/Product/10898643812685,oyl260416384-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-107.png,wheel-design-107.png
OYL260416386,gid://shopify/Product/10898643910989,oyl260416386-20-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-107.png,wheel-design-107.png
OYL260416392,gid://shopify/Product/10898644140365,oyl260416392-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-110.png,wheel-design-110.png
OYL260416394,gid://shopify/Product/10898644205901,oyl260416394-20-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-111.png,wheel-design-111.png
OYL260416397,gid://shopify/Product/10898644336973,oyl260416397-20-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-113.png,wheel-design-113.png
OYL260416412,gid://shopify/Product/10898645057869,oyl260416412-21-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-118.png,wheel-design-118.png
OYL260416415,gid://shopify/Product/10898645156173,oyl260416415-21-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-118.png,wheel-design-118.png
OYL260416417,gid://shopify/Product/10898645287245,oyl260416417-21-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-119.png,wheel-design-119.png
OYL260416419,gid://shopify/Product/10898645352781,oyl260416419-22-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-119.png,wheel-design-119.png
OYL260416420,gid://shopify/Product/10898645385549,oyl260416420-20-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-120.png,wheel-design-120.png
OYL260416423,gid://shopify/Product/10898645516621,oyl260416423-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-122.png,wheel-design-122.png
OYL260416425,gid://shopify/Product/10898645778765,oyl260416425-22-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-123.png,wheel-design-123.png
OYL260416426,gid://shopify/Product/10898645877069,oyl260416426-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-124.png,wheel-design-124.png
OYL260416439,gid://shopify/Product/10898646860109,oyl260416439-20-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-130.png,wheel-design-130.png
