sku,handle,marca_etiqueta,acabado_codigo,diametro,anchura,pcd,et,buje,compatibilidad_proveedor_original,contiene_texto_chino
OYL260416127,oyl260416127-18-mercedes-benz,mercedes-benz,mb,18,8.0,5x112,36,66.5,BENZ S级贴AMG标,si
OYL260416128,oyl260416128-18-mercedes-benz,mercedes-benz,mb,18,9.0,5x112,42,66.5,BENZ S级贴AMG标,si
OYL260416129,oyl260416129-19-mercedes-benz,mercedes-benz,mb,19,8.5,5x112,36,66.5,BENZ S级贴AMG标,si
OYL260416130,oyl260416130-19-mercedes-benz,mercedes-benz,mb,19,9.5,5x112,43,66.5,BENZ S级贴AMG标,si
OYL260416131,oyl260416131-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ S级贴AMG标,si
OYL260416132,oyl260416132-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,43,66.5,BENZ S级贴AMG标,si
OYL260416133,oyl260416133-21-mercedes-benz,mercedes-benz,mb,21,9.0,5x112,34,66.5,BENZ S级贴AMG标,si
OYL260416134,oyl260416134-21-mercedes-benz,mercedes-benz,mb,21,10.0,5x112,48,66.5,BENZ S级贴AMG标,si
OYL260416135,oyl260416135-19-mercedes-benz,mercedes-benz,mb,19,8.5,5x112,36,66.5,BENZ GLS/GLE,no
OYL260416136,oyl260416136-19-mercedes-benz,mercedes-benz,mb,19,9.5,5x112,43,66.5,BENZ GLS/GLE,no
OYL260416137,oyl260416137-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ GLS/GLE,no
OYL260416138,oyl260416138-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,45,66.5,BENZ GLS/GLE,no
OYL260416139,oyl260416139-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ GLS/GLE,no
OYL260416140,oyl260416140-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,45,66.5,BENZ GLS/GLE,no
OYL260416141,oyl260416141-21-mercedes-benz,mercedes-benz,mb,21,10.0,5x112,45,66.5,BENZ GLS/GLE,no
OYL260416142,oyl260416142-21-mercedes-benz,mercedes-benz,mb,21,11.0,5x112,42,66.5,BENZ GLS/GLE,no
OYL260416143,oyl260416143-22-mercedes-benz,mercedes-benz,mb,22,9.5,5x112,45,66.5,BENZ GLS/GLE,no
OYL260416144,oyl260416144-22-mercedes-benz,mercedes-benz,mb,22,11.5,5x112,47,66.5,BENZ GLS/GLE,no
OYL260416145,oyl260416145-22-mercedes-benz,mercedes-benz,mg,22,9.5,5x112,45,66.5,BENZ GLS/GLE,no
OYL260416146,oyl260416146-19-mercedes-benz,mercedes-benz,p,19,8.5,5x112,36,66.5,BENZ S级老 迈巴赫威霆,si
OYL260416147,oyl260416147-19-mercedes-benz,mercedes-benz,p,19,9.5,5x112,43,66.5,BENZ S级老 迈巴赫威霆,si
OYL260416148,oyl260416148-20-mercedes-benz,mercedes-benz,p,20,8.5,5x112,36,66.5,BENZ S级老 迈巴赫威霆,si
OYL260416149,oyl260416149-20-mercedes-benz,mercedes-benz,p,20,9.5,5x112,43,66.5,BENZ S级老 迈巴赫威霆,si
OYL260416150,oyl260416150-20-mercedes-benz,mercedes-benz,cb,20,8.5,5x112,36,66.5,BENZ S级老 迈巴赫威霆,si
OYL260416151,oyl260416151-19-mercedes-benz,mercedes-benz,mb,19,8.5,5x112,36,66.5,BENZ S级老 迈巴赫 威霆,si
OYL260416152,oyl260416152-19-mercedes-benz,mercedes-benz,mb,19,9.5,5x112,43,66.5,BENZ S级老 迈巴赫 威霆,si
OYL260416153,oyl260416153-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ S级老 迈巴赫 威霆,si
OYL260416154,oyl260416154-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,43,66.5,BENZ S级老 迈巴赫 威霆,si
OYL260416155,oyl260416155-20-bmw,bmw,mb,20,10.5,5x112,40,66.5,BMW X5X6,no
OYL260416156,oyl260416156-20-bmw,bmw,mb,20,10.5,5x120,40,74.1,BMW X5X6,no
OYL260416157,oyl260416157-19-bmw,bmw,mb,19,8.5,5x112,30,66.5,BMW 5系7系,si
OYL260416158,oyl260416158-19-bmw,bmw,mb,19,9.5,5x112,35,66.5,BMW 5系7系,si
OYL260416159,oyl260416159-19-bmw,bmw,mb,19,8.5,5x120,30,72.6,BMW 5系7系,si
OYL260416160,oyl260416160-19-bmw,bmw,mb,19,9.5,5x120,35,72.6,BMW 5系7系,si
OYL260416161,oyl260416161-20-bmw,bmw,mb,20,8.5,5x112,25,66.5,BMW 5系7系,si
OYL260416162,oyl260416162-20-bmw,bmw,mb,20,8.5,5x120,25,72.6,BMW 5系7系,si
OYL260416163,oyl260416163-20-bmw,bmw,mb,20,9.5,5x120,35,72.6,BMW 5系7系,si
OYL260416164,oyl260416164-20-bmw,bmw,mb,20,9.5,5x112,40,66.5,BMW 7系,si
OYL260416165,oyl260416165-20-bmw,bmw,mb,20,8.5,5x120,25,72.6,BMW 7系,si
OYL260416166,oyl260416166-20-bmw,bmw,mb,20,9.5,5x120,40,72.6,BMW 7系,si
OYL260416167,oyl260416167-21-bmw,bmw,mb,21,9.0,5x112,24,66.5,BMW 7系,si
OYL260416168,oyl260416168-21-bmw,bmw,mb,21,10.5,5x112,44,66.5,BMW 7系,si
OYL260416169,oyl260416169-21-bmw,bmw,mb,21,9.0,5x120,24,72.6,BMW 7系,si
OYL260416170,oyl260416170-21-bmw,bmw,mb,21,10.5,5x120,44,72.6,BMW 7系,si
OYL260416171,oyl260416171-19-bmw,bmw,mb,19,8.0,5x120,25,72.56,BMW 3/5系,si
OYL260416172,oyl260416172-19-bmw,bmw,b,19,9.0,5x112,35,66.5,BMW 3/5系,si
OYL260416173,oyl260416173-19-bmw,bmw,b,19,8.0,5x120,25,72.56,BMW 3/5系,si
OYL260416174,oyl260416174-18-volkswagen,volkswagen,b,18,8.0,5x112,35,57.1,VW全系,si
OYL260416175,oyl260416175-18-volkswagen,volkswagen,s,18,8.0,5x112,35,57.1,VW全系,si
OYL260416176,oyl260416176-19-volkswagen,volkswagen,b,19,8.0,5x112,38,57.1,(VWMagotan-2024/2025/改）,si
OYL260416177,oyl260416177-19-volkswagen,volkswagen,s,19,8.0,5x112,38,57.1,(VWMagotan-2024/2025/改）,si
OYL260416178,oyl260416178-17-volkswagen,volkswagen,mb,17,7.5,5x100,35,57.1,VW全系,si
OYL260416179,oyl260416179-18-volkswagen,volkswagen,mb,18,8.0,5x112,35,57.1,VW全系,si
OYL260416180,oyl260416180-19-mercedes-benz,mercedes-benz,mb,19,8.5,5x112,36,66.5,BENZ C43 AMG,no
OYL260416181,oyl260416181-19-mercedes-benz,mercedes-benz,mb,19,9.5,5x112,42,66.5,BENZ C43 AMG,no
OYL260416182,oyl260416182-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ C43 AMG,no
OYL260416183,oyl260416183-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,42,66.5,BENZ C43 AMG,no
OYL260416184,oyl260416184-19-bmw,bmw,mb,19,9.5,5x112,35,66.5,BMW M5-2021/改装,si
OYL260416185,oyl260416185-19-bmw,bmw,mb,19,9.5,5x120,35,72.6,BMW M5-2021/改装,si
OYL260416186,oyl260416186-20-bmw,bmw,mb,20,9.5,5x112,40,66.5,BMW 改装,si
OYL260416187,oyl260416187-20-bmw,bmw,mb,20,8.5,5x120,25,72.6,BMW 改装,si
OYL260416188,oyl260416188-17-audi,audi,mb,17,7.5,5x112,35,66.45,AUDIA4/A6,no
OYL260416189,oyl260416189-18-audi,audi,mb,18,8.0,5x112,35,66.45,AUDIA4/A6/改装车型,si
OYL260416190,oyl260416190-19-audi,audi,mb,19,8.5,5x112,35,66.45,AUDIA8,no
OYL260416191,oyl260416191-21-audi,audi,mb,21,9.0,5x112,25,66.45,AUDIRS6,no
OYL260416192,oyl260416192-20-audi,audi,mb,20,9.0,5x112,30,66.45,AUDIQ7,no
OYL260416193,oyl260416193-22-audi,audi,mb,22,10.0,5x112,20,66.5,AUDIQ7,no
OYL260416194,oyl260416194-19-mercedes-benz,mercedes-benz,b,19,8.5,5x112,36,66.5,BENZ 迈巴赫改装,si
OYL260416195,oyl260416195-20-mercedes-benz,mercedes-benz,b,20,8.5,5x112,36,66.5,BENZ 迈巴赫改装,si
OYL260416196,oyl260416196-21-mercedes-benz,mercedes-benz,b,21,9.0,5x112,34,66.5,BENZ 迈巴赫改装,si
OYL260416197,oyl260416197-21-mercedes-benz,mercedes-benz,b,21,10.0,5x112,48,66.5,BENZ 迈巴赫改装,si
OYL260416198,oyl260416198-18-mercedes-benz,mercedes-benz,mb,18,8.0,5x112,36,66.5,BENZ E级,si
OYL260416199,oyl260416199-19-mercedes-benz,mercedes-benz,mb,19,8.5,5x112,36,66.5,BENZ E级,si
OYL260416200,oyl260416200-19-mercedes-benz,mercedes-benz,mb,19,9.5,5x112,45,66.5,BENZ E级,si
OYL260416201,oyl260416201-19-bmw,bmw,b,19,8.0,5x112,30,66.5,BMW 3/5系,si
OYL260416202,oyl260416202-19-bmw,bmw,b,19,9.0,5x120,35,72.5,BMW 3/5系,si
OYL260416203,oyl260416203-20-bmw,bmw,b,20,8.5,5x112,30,66.5,BMW 3/5系,si
OYL260416204,oyl260416204-20-bmw,bmw,b,20,9.5,5x112,35,66.5,BMW 3/5系,si
OYL260416205,oyl260416205-20-bmw,bmw,mb,20,8.5,5x112,30,66.5,BMW 3/5系,si
OYL260416206,oyl260416206-20-bmw,bmw,mb,20,9.5,5x112,35,66.5,BMW 3/5系,si
OYL260416207,oyl260416207-20-bmw,bmw,b,20,8.5,5x120,30,72.56,BMW M4/改,si
OYL260416208,oyl260416208-20-bmw,bmw,b,20,9.5,5x120,35,72.56,BMW M4/改,si
OYL260416209,oyl260416209-19-audi,audi,mbi,19,8.5,5x112,35,66.45,AUDIA7,no
OYL260416210,oyl260416210-19-vehiculos-europeos,vehículos-europeos,mbi,19,8.5,5x114.3,35,73.1,改装,si
OYL260416211,oyl260416211-21-bmw,bmw,mb,21,10.5,5x112,43,66.5,BMW X7,no
OYL260416212,oyl260416212-22-bmw,bmw,mb,22,9.5,5x112,37,66.5,BMW X5/X7,no
OYL260416213,oyl260416213-22-bmw,bmw,mb,22,10.5,5x112,43,66.5,BMW X5/X7,no
OYL260416214,oyl260416214-22-bmw,bmw,mb,22,9.5,5x120,37,74.1,BMW X5/X7,no
OYL260416215,oyl260416215-18-mercedes-benz,mercedes-benz,mb,18,8.0,5x112,36,66.5,BENZ S级老 迈巴赫,si
OYL260416216,oyl260416216-18-mercedes-benz,mercedes-benz,mb,18,9.0,5x112,43,66.5,BENZ S级老 迈巴赫(球）,si
OYL260416217,oyl260416217-19-mercedes-benz,mercedes-benz,mb,19,8.5,5x112,36,66.5,BENZ S级老 迈巴赫,si
OYL260416218,oyl260416218-19-mercedes-benz,mercedes-benz,mb,19,9.5,5x112,43,66.5,BENZ S级老 迈巴赫,si
OYL260416219,oyl260416219-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ S级老 迈巴赫,si
OYL260416220,oyl260416220-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,43,66.5,BENZ S级老 迈巴赫,si
OYL260416221,oyl260416221-21-mercedes-benz,mercedes-benz,mb,21,10.0,5x112,48,66.5,BENZ S级老 迈巴赫,si
OYL260416222,oyl260416222-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ S级老 迈巴赫,si
OYL260416223,oyl260416223-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,43,66.5,BENZ S级老 迈巴赫,si
OYL260416224,oyl260416224-19-bmw,bmw,smh,19,8.0,5x112,30,66.5,BMW 3/5系,si
OYL260416225,oyl260416225-19-bmw,bmw,smh,19,9.0,5x112,44,66.5,BMW 3/5系,si
OYL260416226,oyl260416226-19-bmw,bmw,smh,19,8.0,5x120,30,72.6,BMW 3/5系,si
OYL260416227,oyl260416227-19-bmw,bmw,smh,19,9.0,5x120,44,72.6,BMW 3/5系,si
OYL260416228,oyl260416228-20-bmw,bmw,mb,20,9.0,5x112,35,66.5,BMW X5/X7,no
OYL260416229,oyl260416229-20-bmw,bmw,mb,20,10.5,5x112,40,66.5,BMW X5/X7,no
OYL260416230,oyl260416230-20-bmw,bmw,mb,20,9.0,5x120,35,74.1,BMW X5/X7,no
OYL260416231,oyl260416231-22-bmw,bmw,mb,22,9.5,5x112,37,66.5,BMW X5/X7,no
OYL260416232,oyl260416232-22-bmw,bmw,mb,22,10.5,5x112,43,66.5,BMW X5/X7,no
OYL260416233,oyl260416233-22-bmw,bmw,mb,22,9.5,5x120,37,74.1,BMW X5/X7,no
OYL260416234,oyl260416234-22-bmw,bmw,mb,22,10.5,5x120,43,74.1,BMW X5/X7,no
OYL260416235,oyl260416235-18-bmw,bmw,mb,18,8.5,5x120,30,72.56,BMW 5系7系,si
OYL260416236,oyl260416236-18-bmw,bmw,mb,18,8.5,5x112,30,66.5,BMW 5系7系,si
OYL260416237,oyl260416237-19-bmw,bmw,mb,19,8.5,5x120,25,72.56,BMW 5系7系,si
OYL260416238,oyl260416238-19-bmw,bmw,mb,19,9.5,5x120,35,72.56,BMW 5系7系,si
OYL260416239,oyl260416239-19-bmw,bmw,mb,19,8.5,5x112,30,66.5,BMW 5系7系,si
OYL260416240,oyl260416240-19-bmw,bmw,mb,19,9.5,5x112,35,66.5,BMW 5系7系,si
