sku,producto,handle,estado_producto,diametro,anchura,pcd,et,buje,peso,peso_unidad,unidades_por_juego,acabado,carga,estado_datos,campos_ausentes,datos_anomalos,n_metafields
OYL260416016,Juego de 4 llantas 17 pulgadas Audi – OYL260416016,oyl260416016-17-audi,DRAFT,17,7.5,5x112,35,66.45,40,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416017,Juego de 4 llantas 18 pulgadas Vehículos europeos – OYL260416017,oyl260416017-18-vehiculos-europeos,DRAFT,18,8.0,5x114.3,35,73.1,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416018,Juego de 4 llantas 19 pulgadas Audi – OYL260416018,oyl260416018-19-audi,DRAFT,19,8.5,5x112,35,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416019,Juego de 4 llantas 19 pulgadas Vehículos europeos – OYL260416019,oyl260416019-19-vehiculos-europeos,DRAFT,19,8.5,5x114.3,35,73.1,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416020,Juego de 4 llantas 20 pulgadas Audi – OYL260416020,oyl260416020-20-audi,DRAFT,20,9.0,5x112,30,66.45,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416021,Juego de 4 llantas 21 pulgadas Audi – OYL260416021,oyl260416021-21-audi,DRAFT,21,9.0,5x112,30,66.45,56,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416022,Juego de 4 llantas 18 pulgadas BMW – OYL260416022,oyl260416022-18-bmw,DRAFT,18,8.0,5x112,30,66.56,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416023,Juego de 4 llantas 18 pulgadas BMW – OYL260416023,oyl260416023-18-bmw,DRAFT,18,8.0,5x120,31,72.6,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416024,Juego de 4 llantas 20 pulgadas BMW – OYL260416024,oyl260416024-20-bmw,DRAFT,20,11.0,5x120,37,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416025,Juego de 4 llantas 20 pulgadas BMW – OYL260416025,oyl260416025-20-bmw,DRAFT,20,11.0,5x120,37,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416026,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416026,oyl260416026-19-mercedes-benz,DRAFT,19,8.5,5x112,38,66.56,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416027,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416027,oyl260416027-19-mercedes-benz,DRAFT,19,9.5,5x112,43,66.56,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416028,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416028,oyl260416028-20-mercedes-benz,DRAFT,20,8.5,5x112,38,66.56,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416029,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416029,oyl260416029-20-mercedes-benz,DRAFT,20,9.5,5x112,43,66.56,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416030,Juego de 4 llantas 21 pulgadas Mercedes-Benz – OYL260416030,oyl260416030-21-mercedes-benz,DRAFT,21,10.0,5x112,45,66.5,56,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416031,Juego de 4 llantas 21 pulgadas Mercedes-Benz – OYL260416031,oyl260416031-21-mercedes-benz,DRAFT,21,11.0,5x112,42,66.5,56,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416032,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416032,oyl260416032-22-mercedes-benz,DRAFT,22,11.5,5x112,47,66.5,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416033,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416033,oyl260416033-22-mercedes-benz,DRAFT,22,11.5,5x112,47,66.5,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416034,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416034,oyl260416034-19-mercedes-benz,DRAFT,19,9.5,5x112,43,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416035,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416035,oyl260416035-19-mercedes-benz,DRAFT,19,8.5,5x112,38,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416036,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416036,oyl260416036-19-mercedes-benz,DRAFT,19,9.5,5x112,43,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416037,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416037,oyl260416037-20-mercedes-benz,DRAFT,20,9.5,5x112,43,66.45,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416038,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416038,oyl260416038-22-mercedes-benz,DRAFT,22,10.0,5x130,35,84.1,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416039,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416039,oyl260416039-22-mercedes-benz,DRAFT,22,10.0,5x130,35,84.1,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416040,Juego de 4 llantas 18 pulgadas BMW – OYL260416040,oyl260416040-18-bmw,DRAFT,18,8.0,5x120,30,72.6,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416041,Juego de 4 llantas 17 pulgadas BMW – OYL260416041,oyl260416041-17-bmw,DRAFT,17,8.0,5x120,30,72.6,40,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416042,Juego de 4 llantas 20 pulgadas BMW – OYL260416042,oyl260416042-20-bmw,DRAFT,20,11.0,5x112,35,66.6,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416043,Juego de 4 llantas 20 pulgadas BMW – OYL260416043,oyl260416043-20-bmw,DRAFT,20,10.0,5x112,40,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416044,Juego de 4 llantas 20 pulgadas BMW – OYL260416044,oyl260416044-20-bmw,DRAFT,20,11.0,5x112,35,66.6,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416045,Juego de 4 llantas 20 pulgadas BMW – OYL260416045,oyl260416045-20-bmw,DRAFT,20,10.0,5x120,40,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416046,Juego de 4 llantas 20 pulgadas BMW – OYL260416046,oyl260416046-20-bmw,DRAFT,20,11.0,5x120,35,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416047,Juego de 4 llantas 20 pulgadas BMW – OYL260416047,oyl260416047-20-bmw,DRAFT,20,10.0,5x120,40,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416048,Juego de 4 llantas 20 pulgadas BMW – OYL260416048,oyl260416048-20-bmw,DRAFT,20,11.0,5x120,35,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416049,Juego de 4 llantas 20 pulgadas BMW – OYL260416049,oyl260416049-20-bmw,DRAFT,20,10.5,5x112,40,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416050,Juego de 4 llantas 20 pulgadas BMW – OYL260416050,oyl260416050-20-bmw,DRAFT,20,10.5,5x112,40,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416051,Juego de 4 llantas 22 pulgadas BMW – OYL260416051,oyl260416051-22-bmw,DRAFT,22,9.5,5x112,37,66.5,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416052,Juego de 4 llantas 22 pulgadas BMW – OYL260416052,oyl260416052-22-bmw,DRAFT,22,9.5,5x120,37,74.1,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416053,Juego de 4 llantas 22 pulgadas BMW – OYL260416053,oyl260416053-22-bmw,DRAFT,22,9.5,5x120,37,74.1,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416054,Juego de 4 llantas 22 pulgadas BMW – OYL260416054,oyl260416054-22-bmw,DRAFT,22,10.5,5x112,43,66.5,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416055,Juego de 4 llantas 18 pulgadas Audi – OYL260416055,oyl260416055-18-audi,DRAFT,18,8.0,5x112,35,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416056,Juego de 4 llantas 19 pulgadas Audi – OYL260416056,oyl260416056-19-audi,DRAFT,19,8.5,5x112,35,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416057,Juego de 4 llantas 19 pulgadas Audi – OYL260416057,oyl260416057-19-audi,DRAFT,19,8.5,5x112,35,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416058,Juego de 4 llantas 18 pulgadas BMW – OYL260416058,oyl260416058-18-bmw,DRAFT,18,8.0,5x120,30,72.6,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416059,Juego de 4 llantas 17 pulgadas Audi – OYL260416059,oyl260416059-17-audi,DRAFT,17,7.5,5x112,35,66.45,40,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416060,Juego de 4 llantas 17 pulgadas Audi – OYL260416060,oyl260416060-17-audi,DRAFT,17,7.5,5x112,35,66.45,40,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416061,Juego de 4 llantas 18 pulgadas Audi – OYL260416061,oyl260416061-18-audi,DRAFT,18,8.0,5x112,35,66.45,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416062,Juego de 4 llantas 19 pulgadas Audi – OYL260416062,oyl260416062-19-audi,DRAFT,19,8.5,5x112,35,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416063,Juego de 4 llantas 20 pulgadas Audi – OYL260416063,oyl260416063-20-audi,DRAFT,20,9.0,5x112,30,66.45,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416064,Juego de 4 llantas 20 pulgadas Audi – OYL260416064,oyl260416064-20-audi,DRAFT,20,9.0,5x112,30,66.45,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416065,Juego de 4 llantas 19 pulgadas BMW – OYL260416065,oyl260416065-19-bmw,DRAFT,19,8.5,5x112,30,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416066,Juego de 4 llantas 19 pulgadas BMW – OYL260416066,oyl260416066-19-bmw,DRAFT,19,9.5,5x120,35,72.6,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416067,Juego de 4 llantas 20 pulgadas BMW – OYL260416067,oyl260416067-20-bmw,DRAFT,20,9.0,5x112,35,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416068,Juego de 4 llantas 20 pulgadas BMW – OYL260416068,oyl260416068-20-bmw,DRAFT,20,10.5,5x112,40,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416069,Juego de 4 llantas 20 pulgadas BMW – OYL260416069,oyl260416069-20-bmw,DRAFT,20,10.5,5x112,40,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416070,Juego de 4 llantas 20 pulgadas BMW – OYL260416070,oyl260416070-20-bmw,DRAFT,20,9.0,5x120,35,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416071,Juego de 4 llantas 20 pulgadas BMW – OYL260416071,oyl260416071-20-bmw,DRAFT,20,10.5,5x120,40,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416072,Juego de 4 llantas 20 pulgadas BMW – OYL260416072,oyl260416072-20-bmw,DRAFT,20,10.5,5x120,40,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416073,Juego de 4 llantas 20 pulgadas BMW – OYL260416073,oyl260416073-20-bmw,DRAFT,20,10.5,5x112,40,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416074,Juego de 4 llantas 20 pulgadas BMW – OYL260416074,oyl260416074-20-bmw,DRAFT,20,10.5,5x120,40,74.1,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416075,Juego de 4 llantas 22 pulgadas BMW – OYL260416075,oyl260416075-22-bmw,DRAFT,22,9.5,5x112,37,66.56,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416076,Juego de 4 llantas 22 pulgadas BMW – OYL260416076,oyl260416076-22-bmw,DRAFT,22,10.5,5x112,43,66.56,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416077,Juego de 4 llantas 22 pulgadas BMW – OYL260416077,oyl260416077-22-bmw,DRAFT,22,9.5,5x112,37,66.56,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416078,Juego de 4 llantas 22 pulgadas BMW – OYL260416078,oyl260416078-22-bmw,DRAFT,22,10.5,5x120,43,74.1,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416079,Juego de 4 llantas 22 pulgadas BMW – OYL260416079,oyl260416079-22-bmw,DRAFT,22,9.5,5x112,37,66.5,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416080,Juego de 4 llantas 22 pulgadas BMW – OYL260416080,oyl260416080-22-bmw,DRAFT,22,10.5,5x120,43,74.1,60,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416081,Juego de 4 llantas 18 pulgadas BMW – OYL260416081,oyl260416081-18-bmw,DRAFT,18,8.0,5x112,30,66.56,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416082,Juego de 4 llantas 18 pulgadas BMW – OYL260416082,oyl260416082-18-bmw,DRAFT,18,8.0,5x120,30,72.6,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416083,Juego de 4 llantas 18 pulgadas BMW – OYL260416083,oyl260416083-18-bmw,DRAFT,18,8.0,5x112,30,66.56,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416084,Juego de 4 llantas 18 pulgadas BMW – OYL260416084,oyl260416084-18-bmw,DRAFT,18,8.0,5x112,30,66.56,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416085,Juego de 4 llantas 17 pulgadas BMW – OYL260416085,oyl260416085-17-bmw,DRAFT,17,8.0,5x120,25,72.6,40,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416086,Juego de 4 llantas 19 pulgadas BMW – OYL260416086,oyl260416086-19-bmw,DRAFT,19,8.0,5x120,30,72.56,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416087,Juego de 4 llantas 19 pulgadas BMW – OYL260416087,oyl260416087-19-bmw,DRAFT,19,8.0,5x120,30,72.56,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416088,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416088,oyl260416088-18-mercedes-benz,DRAFT,18,8.0,5x112,43,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416089,Juego de 4 llantas 19 pulgadas Audi – OYL260416089,oyl260416089-19-audi,DRAFT,19,8.5,5x112,30,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416090,Juego de 4 llantas 19 pulgadas Audi – OYL260416090,oyl260416090-19-audi,DRAFT,19,8.5,5x112,30,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416091,Juego de 4 llantas 20 pulgadas Audi – OYL260416091,oyl260416091-20-audi,DRAFT,20,9.0,5x112,30,66.45,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416092,Juego de 4 llantas 20 pulgadas Audi – OYL260416092,oyl260416092-20-audi,DRAFT,20,9.0,5x112,30,66.45,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416093,Juego de 4 llantas 20 pulgadas Audi – OYL260416093,oyl260416093-20-audi,DRAFT,20,9.0,5x112,30,66.45,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416094,Juego de 4 llantas 17 pulgadas Audi – OYL260416094,oyl260416094-17-audi,DRAFT,17,7.5,5x112,35,66.45,40,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416095,Juego de 4 llantas 17 pulgadas Vehículos europeos – OYL260416095,oyl260416095-17-vehiculos-europeos,DRAFT,17,7.5,5x112,,66.5,40,KILOGRAMS,4 (por defecto del tema),,,incompleto,offset_et,,4
OYL260416096,Juego de 4 llantas 18 pulgadas Audi – OYL260416096,oyl260416096-18-audi,DRAFT,18,8.0,5x112,35,66.45,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416097,Juego de 4 llantas 18 pulgadas Audi – OYL260416097,oyl260416097-18-audi,DRAFT,18,8.0,5x112,35,66.45,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416098,Juego de 4 llantas 18 pulgadas Vehículos europeos – OYL260416098,oyl260416098-18-vehiculos-europeos,DRAFT,18,8.0,5x112,,66.5,44,KILOGRAMS,4 (por defecto del tema),,,incompleto,offset_et,,4
OYL260416099,Juego de 4 llantas 19 pulgadas Audi – OYL260416099,oyl260416099-19-audi,DRAFT,19,8.5,5x112,30,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416100,Juego de 4 llantas 20 pulgadas Audi – OYL260416100,oyl260416100-20-audi,DRAFT,20,9.0,5x112,30,66.45,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416101,Juego de 4 llantas 21 pulgadas Audi – OYL260416101,oyl260416101-21-audi,DRAFT,21,9.0,5x112,25,66.5,56,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416102,Juego de 4 llantas 20 pulgadas Audi – OYL260416102,oyl260416102-20-audi,DRAFT,20,9.0,5x112,30,66.45,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416103,Juego de 4 llantas 23 pulgadas Audi – OYL260416103,oyl260416103-23-audi,DRAFT,23,10.0,5x112,20,66.5,64,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416104,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416104,oyl260416104-18-mercedes-benz,DRAFT,18,8.0,5x112,36,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416105,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416105,oyl260416105-18-mercedes-benz,DRAFT,18,9.0,5x112,42,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416106,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416106,oyl260416106-18-mercedes-benz,DRAFT,18,8.0,5x112,36,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416107,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416107,oyl260416107-18-mercedes-benz,DRAFT,18,9.0,5x112,42,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416108,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416108,oyl260416108-19-mercedes-benz,DRAFT,19,9.5,5x112,43,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416109,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416109,oyl260416109-19-mercedes-benz,DRAFT,19,9.5,5x112,43,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416110,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416110,oyl260416110-20-mercedes-benz,DRAFT,20,8.5,5x112,36,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416111,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416111,oyl260416111-20-mercedes-benz,DRAFT,20,8.5,5x112,36,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416112,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416112,oyl260416112-20-mercedes-benz,DRAFT,20,9.5,5x112,43,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416113,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416113,oyl260416113-18-mercedes-benz,DRAFT,18,8.0,5x112,40,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416114,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416114,oyl260416114-18-mercedes-benz,DRAFT,18,9.0,5x112,45,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416115,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416115,oyl260416115-18-mercedes-benz,DRAFT,18,8.0,5x112,40,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416116,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416116,oyl260416116-18-mercedes-benz,DRAFT,18,9.0,5x112,45,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416117,Juego de 4 llantas 18 pulgadas Vehículos europeos – OYL260416117,oyl260416117-18-vehiculos-europeos,DRAFT,18,8.0,5x112,35,66.6,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416118,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416118,oyl260416118-19-mercedes-benz,DRAFT,19,8.0,5x112,36,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416119,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416119,oyl260416119-19-mercedes-benz,DRAFT,19,9.0,5x112,42,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416120,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416120,oyl260416120-19-mercedes-benz,DRAFT,19,8.0,5x112,36,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416121,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416121,oyl260416121-19-mercedes-benz,DRAFT,19,9.0,5x112,42,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416122,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416122,oyl260416122-20-mercedes-benz,DRAFT,20,8.5,5x112,36,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416123,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416123,oyl260416123-20-mercedes-benz,DRAFT,20,9.5,5x112,43,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416124,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416124,oyl260416124-20-mercedes-benz,DRAFT,20,8.5,5x112,36,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416125,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416125,oyl260416125-20-mercedes-benz,DRAFT,20,9.5,5x112,43,66.5,52,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416126,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416126,oyl260416126-19-mercedes-benz,DRAFT,19,8.0,5x112,38,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416127,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416127,oyl260416127-18-mercedes-benz,DRAFT,18,8.0,5x112,36,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416128,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416128,oyl260416128-18-mercedes-benz,DRAFT,18,9.0,5x112,42,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416129,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416129,oyl260416129-19-mercedes-benz,DRAFT,19,8.5,5x112,36,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416130,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416130,oyl260416130-19-mercedes-benz,DRAFT,19,9.5,5x112,43,66.5,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
