sku,handle,pista_original,traduccion_es,fiabilidad_traduccion,estado_traduccion,fragmentos_aplicados,notas,estado_pista,verificacion_tecnica,visible_para_el_cliente
OYL260416048,oyl260416048-20-bmw,BMW *5后轮,BMW *5 rueda trasera,alta,traducido,后轮,后轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416058,oyl260416058-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416081,oyl260416081-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416082,oyl260416082-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416083,oyl260416083-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416084,oyl260416084-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416085,oyl260416085-17-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416086,oyl260416086-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416087,oyl260416087-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416088,oyl260416088-18-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416104,oyl260416104-18-mercedes-benz,BENZ S级新,Mercedes-Benz Clase S generación nueva,media,traducido_mercado_chino,"([A-Z]{1,3})\s*级 新",新: No dice a partir de qué año: hay que acotarlo.,pista_ilegible,pendiente,no
OYL260416105,oyl260416105-18-mercedes-benz,BENZ S级新,Mercedes-Benz Clase S generación nueva,media,traducido_mercado_chino,"([A-Z]{1,3})\s*级 新",新: No dice a partir de qué año: hay que acotarlo.,pista_ilegible,pendiente,no
OYL260416106,oyl260416106-18-mercedes-benz,BENZ S级新,Mercedes-Benz Clase S generación nueva,media,traducido_mercado_chino,"([A-Z]{1,3})\s*级 新",新: No dice a partir de qué año: hay que acotarlo.,pista_ilegible,pendiente,no
OYL260416107,oyl260416107-18-mercedes-benz,BENZ S级新,Mercedes-Benz Clase S generación nueva,media,traducido_mercado_chino,"([A-Z]{1,3})\s*级 新",新: No dice a partir de qué año: hay que acotarlo.,pista_ilegible,pendiente,no
OYL260416108,oyl260416108-19-mercedes-benz,BENZ S级新,Mercedes-Benz Clase S generación nueva,media,traducido_mercado_chino,"([A-Z]{1,3})\s*级 新",新: No dice a partir de qué año: hay que acotarlo.,pista_ilegible,pendiente,no
OYL260416109,oyl260416109-19-mercedes-benz,BENZ S级新,Mercedes-Benz Clase S generación nueva,media,traducido_mercado_chino,"([A-Z]{1,3})\s*级 新",新: No dice a partir de qué año: hay que acotarlo.,pista_ilegible,pendiente,no
OYL260416110,oyl260416110-20-mercedes-benz,BENZ S级新,Mercedes-Benz Clase S generación nueva,media,traducido_mercado_chino,"([A-Z]{1,3})\s*级 新",新: No dice a partir de qué año: hay que acotarlo.,pista_ilegible,pendiente,no
OYL260416111,oyl260416111-20-mercedes-benz,BENZ S级新,Mercedes-Benz Clase S generación nueva,media,traducido_mercado_chino,"([A-Z]{1,3})\s*级 新",新: No dice a partir de qué año: hay que acotarlo.,pista_ilegible,pendiente,no
OYL260416112,oyl260416112-20-mercedes-benz,BENZ S级新,Mercedes-Benz Clase S generación nueva,media,traducido_mercado_chino,"([A-Z]{1,3})\s*级 新",新: No dice a partir de qué año: hay que acotarlo.,pista_ilegible,pendiente,no
OYL260416113,oyl260416113-18-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416114,oyl260416114-18-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416115,oyl260416115-18-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416116,oyl260416116-18-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416118,oyl260416118-19-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416119,oyl260416119-19-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416120,oyl260416120-19-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416121,oyl260416121-19-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416122,oyl260416122-20-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416123,oyl260416123-20-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416124,oyl260416124-20-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416125,oyl260416125-20-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416127,oyl260416127-18-mercedes-benz,BENZ S级贴AMG标,Mercedes-Benz Clase S con emblema AMG (no es un AMG de fábrica),media,traducido_mercado_chino,"贴\s*([A-Za-z0-9\-]+)\s*标 ([A-Z]{1,3})\s*级",Insignia colocada: el vehículo no es esa versión de fábrica.,pista_ilegible,pendiente,no
OYL260416128,oyl260416128-18-mercedes-benz,BENZ S级贴AMG标,Mercedes-Benz Clase S con emblema AMG (no es un AMG de fábrica),media,traducido_mercado_chino,"贴\s*([A-Za-z0-9\-]+)\s*标 ([A-Z]{1,3})\s*级",Insignia colocada: el vehículo no es esa versión de fábrica.,pista_ilegible,pendiente,no
OYL260416129,oyl260416129-19-mercedes-benz,BENZ S级贴AMG标,Mercedes-Benz Clase S con emblema AMG (no es un AMG de fábrica),media,traducido_mercado_chino,"贴\s*([A-Za-z0-9\-]+)\s*标 ([A-Z]{1,3})\s*级",Insignia colocada: el vehículo no es esa versión de fábrica.,pista_ilegible,pendiente,no
OYL260416130,oyl260416130-19-mercedes-benz,BENZ S级贴AMG标,Mercedes-Benz Clase S con emblema AMG (no es un AMG de fábrica),media,traducido_mercado_chino,"贴\s*([A-Za-z0-9\-]+)\s*标 ([A-Z]{1,3})\s*级",Insignia colocada: el vehículo no es esa versión de fábrica.,pista_ilegible,pendiente,no
OYL260416131,oyl260416131-20-mercedes-benz,BENZ S级贴AMG标,Mercedes-Benz Clase S con emblema AMG (no es un AMG de fábrica),media,traducido_mercado_chino,"贴\s*([A-Za-z0-9\-]+)\s*标 ([A-Z]{1,3})\s*级",Insignia colocada: el vehículo no es esa versión de fábrica.,pista_ilegible,pendiente,no
OYL260416132,oyl260416132-20-mercedes-benz,BENZ S级贴AMG标,Mercedes-Benz Clase S con emblema AMG (no es un AMG de fábrica),media,traducido_mercado_chino,"贴\s*([A-Za-z0-9\-]+)\s*标 ([A-Z]{1,3})\s*级",Insignia colocada: el vehículo no es esa versión de fábrica.,pista_ilegible,pendiente,no
OYL260416133,oyl260416133-21-mercedes-benz,BENZ S级贴AMG标,Mercedes-Benz Clase S con emblema AMG (no es un AMG de fábrica),media,traducido_mercado_chino,"贴\s*([A-Za-z0-9\-]+)\s*标 ([A-Z]{1,3})\s*级",Insignia colocada: el vehículo no es esa versión de fábrica.,pista_ilegible,pendiente,no
OYL260416134,oyl260416134-21-mercedes-benz,BENZ S级贴AMG标,Mercedes-Benz Clase S con emblema AMG (no es un AMG de fábrica),media,traducido_mercado_chino,"贴\s*([A-Za-z0-9\-]+)\s*标 ([A-Z]{1,3})\s*级",Insignia colocada: el vehículo no es esa versión de fábrica.,pista_ilegible,pendiente,no
OYL260416146,oyl260416146-19-mercedes-benz,BENZ S级老 迈巴赫威霆,Mercedes-Benz Clase S generación anterior Maybach Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫威霆 老","迈巴赫威霆: Mercedes no vende un ""Maybach Vito"": suele ser una Vito con conversión estética Maybach. No identifica un vehículo homologado. | 老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416147,oyl260416147-19-mercedes-benz,BENZ S级老 迈巴赫威霆,Mercedes-Benz Clase S generación anterior Maybach Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫威霆 老","迈巴赫威霆: Mercedes no vende un ""Maybach Vito"": suele ser una Vito con conversión estética Maybach. No identifica un vehículo homologado. | 老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416148,oyl260416148-20-mercedes-benz,BENZ S级老 迈巴赫威霆,Mercedes-Benz Clase S generación anterior Maybach Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫威霆 老","迈巴赫威霆: Mercedes no vende un ""Maybach Vito"": suele ser una Vito con conversión estética Maybach. No identifica un vehículo homologado. | 老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416149,oyl260416149-20-mercedes-benz,BENZ S级老 迈巴赫威霆,Mercedes-Benz Clase S generación anterior Maybach Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫威霆 老","迈巴赫威霆: Mercedes no vende un ""Maybach Vito"": suele ser una Vito con conversión estética Maybach. No identifica un vehículo homologado. | 老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416150,oyl260416150-20-mercedes-benz,BENZ S级老 迈巴赫威霆,Mercedes-Benz Clase S generación anterior Maybach Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫威霆 老","迈巴赫威霆: Mercedes no vende un ""Maybach Vito"": suele ser una Vito con conversión estética Maybach. No identifica un vehículo homologado. | 老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416151,oyl260416151-19-mercedes-benz,BENZ S级老 迈巴赫 威霆,Mercedes-Benz Clase S generación anterior Maybach Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 威霆 老","威霆: Mercedes Vito, nombre chino 威霆. | 老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416152,oyl260416152-19-mercedes-benz,BENZ S级老 迈巴赫 威霆,Mercedes-Benz Clase S generación anterior Maybach Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 威霆 老","威霆: Mercedes Vito, nombre chino 威霆. | 老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416153,oyl260416153-20-mercedes-benz,BENZ S级老 迈巴赫 威霆,Mercedes-Benz Clase S generación anterior Maybach Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 威霆 老","威霆: Mercedes Vito, nombre chino 威霆. | 老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416154,oyl260416154-20-mercedes-benz,BENZ S级老 迈巴赫 威霆,Mercedes-Benz Clase S generación anterior Maybach Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 威霆 老","威霆: Mercedes Vito, nombre chino 威霆. | 老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416157,oyl260416157-19-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416158,oyl260416158-19-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416159,oyl260416159-19-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416160,oyl260416160-19-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416161,oyl260416161-20-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416162,oyl260416162-20-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416163,oyl260416163-20-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416164,oyl260416164-20-bmw,BMW 7系,BMW Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416165,oyl260416165-20-bmw,BMW 7系,BMW Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416166,oyl260416166-20-bmw,BMW 7系,BMW Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416167,oyl260416167-21-bmw,BMW 7系,BMW Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416168,oyl260416168-21-bmw,BMW 7系,BMW Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416169,oyl260416169-21-bmw,BMW 7系,BMW Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416170,oyl260416170-21-bmw,BMW 7系,BMW Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416171,oyl260416171-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416172,oyl260416172-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416173,oyl260416173-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416174,oyl260416174-18-volkswagen,VW全系,Volkswagen toda la gama,media,traducido_mercado_chino,全系,全系: Una gama entera no es una compatibilidad: cada generación lleva medidas distintas.,pista_ilegible,pendiente,no
OYL260416175,oyl260416175-18-volkswagen,VW全系,Volkswagen toda la gama,media,traducido_mercado_chino,全系,全系: Una gama entera no es una compatibilidad: cada generación lleva medidas distintas.,pista_ilegible,pendiente,no
OYL260416176,oyl260416176-19-volkswagen,(VWMagotan-2024/2025/改）,(Volkswagen Magotan-2024/2025/modificado ）,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416177,oyl260416177-19-volkswagen,(VWMagotan-2024/2025/改）,(Volkswagen Magotan-2024/2025/modificado ）,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416178,oyl260416178-17-volkswagen,VW全系,Volkswagen toda la gama,media,traducido_mercado_chino,全系,全系: Una gama entera no es una compatibilidad: cada generación lleva medidas distintas.,pista_ilegible,pendiente,no
OYL260416179,oyl260416179-18-volkswagen,VW全系,Volkswagen toda la gama,media,traducido_mercado_chino,全系,全系: Una gama entera no es una compatibilidad: cada generación lleva medidas distintas.,pista_ilegible,pendiente,no
OYL260416184,oyl260416184-19-bmw,BMW M5-2021/改装,BMW M5-2021/conversión de posventa,media,traducido_mercado_chino,改装,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416185,oyl260416185-19-bmw,BMW M5-2021/改装,BMW M5-2021/conversión de posventa,media,traducido_mercado_chino,改装,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416186,oyl260416186-20-bmw,BMW 改装,BMW conversión de posventa,media,traducido_mercado_chino,改装,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416187,oyl260416187-20-bmw,BMW 改装,BMW conversión de posventa,media,traducido_mercado_chino,改装,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416189,oyl260416189-18-audi,AUDIA4/A6/改装车型,Audi A4/A6/modelos con conversión,media,traducido_mercado_chino,改装车型,改装车型: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416194,oyl260416194-19-mercedes-benz,BENZ 迈巴赫改装,Mercedes-Benz conversión Maybach,baja,ambiguo,迈巴赫改装,"迈巴赫改装: Conversión estética de posventa, no un modelo de fábrica.",pista_ilegible,pendiente,no
OYL260416195,oyl260416195-20-mercedes-benz,BENZ 迈巴赫改装,Mercedes-Benz conversión Maybach,baja,ambiguo,迈巴赫改装,"迈巴赫改装: Conversión estética de posventa, no un modelo de fábrica.",pista_ilegible,pendiente,no
OYL260416196,oyl260416196-21-mercedes-benz,BENZ 迈巴赫改装,Mercedes-Benz conversión Maybach,baja,ambiguo,迈巴赫改装,"迈巴赫改装: Conversión estética de posventa, no un modelo de fábrica.",pista_ilegible,pendiente,no
OYL260416197,oyl260416197-21-mercedes-benz,BENZ 迈巴赫改装,Mercedes-Benz conversión Maybach,baja,ambiguo,迈巴赫改装,"迈巴赫改装: Conversión estética de posventa, no un modelo de fábrica.",pista_ilegible,pendiente,no
OYL260416198,oyl260416198-18-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416199,oyl260416199-19-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416200,oyl260416200-19-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416201,oyl260416201-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416202,oyl260416202-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416203,oyl260416203-20-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416204,oyl260416204-20-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416205,oyl260416205-20-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416206,oyl260416206-20-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416207,oyl260416207-20-bmw,BMW M4/改,BMW M4/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416208,oyl260416208-20-bmw,BMW M4/改,BMW M4/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416210,oyl260416210-19-vehiculos-europeos,改装,conversión de posventa,media,traducido_mercado_chino,改装,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416215,oyl260416215-18-mercedes-benz,BENZ S级老 迈巴赫,Mercedes-Benz Clase S generación anterior Maybach,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 老",老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea,pista_ilegible,pendiente,no
OYL260416216,oyl260416216-18-mercedes-benz,BENZ S级老 迈巴赫(球）,"Mercedes-Benz Clase S generación anterior Maybach ( ""bola"" ）",baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 老 球",老: No dice hasta qué año: hay que acotarlo. | 球: Fragmento suelto sin significado claro en este contexto. | la pista mezcla dos vehículos distintos en la misma línea,pista_ilegible,pendiente,no
OYL260416217,oyl260416217-19-mercedes-benz,BENZ S级老 迈巴赫,Mercedes-Benz Clase S generación anterior Maybach,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 老",老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea,pista_ilegible,pendiente,no
OYL260416218,oyl260416218-19-mercedes-benz,BENZ S级老 迈巴赫,Mercedes-Benz Clase S generación anterior Maybach,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 老",老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea,pista_ilegible,pendiente,no
OYL260416219,oyl260416219-20-mercedes-benz,BENZ S级老 迈巴赫,Mercedes-Benz Clase S generación anterior Maybach,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 老",老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea,pista_ilegible,pendiente,no
OYL260416220,oyl260416220-20-mercedes-benz,BENZ S级老 迈巴赫,Mercedes-Benz Clase S generación anterior Maybach,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 老",老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea,pista_ilegible,pendiente,no
OYL260416221,oyl260416221-21-mercedes-benz,BENZ S级老 迈巴赫,Mercedes-Benz Clase S generación anterior Maybach,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 老",老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea,pista_ilegible,pendiente,no
OYL260416222,oyl260416222-20-mercedes-benz,BENZ S级老 迈巴赫,Mercedes-Benz Clase S generación anterior Maybach,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 老",老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea,pista_ilegible,pendiente,no
OYL260416223,oyl260416223-20-mercedes-benz,BENZ S级老 迈巴赫,Mercedes-Benz Clase S generación anterior Maybach,baja,ambiguo,"([A-Z]{1,3})\s*级 迈巴赫 老",老: No dice hasta qué año: hay que acotarlo. | la pista mezcla dos vehículos distintos en la misma línea,pista_ilegible,pendiente,no
OYL260416224,oyl260416224-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
