sku,producto,handle,url,ancho_px,alto_px,formato,relacion_aspecto,megapixeles,n_imagenes_producto,productos_con_esta_imagen,alt_presente,imagen_repetida,clasificacion
OYL260416011,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416011,oyl260416011-18-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-011_ee9283e2-5223-46e7-964a-328e02da16d8.png,675,681,png,0.991,0.46,1,1,si,no,baja resolución
OYL260416012,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416012,oyl260416012-18-volkswagen,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-012_dc2d1afc-37a5-46b6-8e85-4d313f4f5d64.png,167,154,png,1.084,0.03,1,1,si,no,baja resolución
OYL260416013,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416013,oyl260416013-18-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-013_ec9b89c2-fc8a-4ae8-84d7-74a467e4d9e3.png,120,116,png,1.034,0.01,1,1,si,no,baja resolución
OYL260416014,Juego de 4 llantas 18 pulgadas BMW – OYL260416014,oyl260416014-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-014_8765aa93-280e-440a-97fd-6ebfb6211bae.jpg,133,126,jpg,1.056,0.02,1,2,si,si,baja resolución
OYL260416015,Juego de 4 llantas 18 pulgadas BMW – OYL260416015,oyl260416015-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-014_52dd364d-f935-47ab-8f99-c5dd0531d88b.jpg,133,126,jpg,1.056,0.02,1,2,si,si,baja resolución
OYL260416016,Juego de 4 llantas 17 pulgadas Audi – OYL260416016,oyl260416016-17-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-015_08ad844c-fafd-4960-817c-74b06865bf3b.jpg,156,158,jpg,0.987,0.02,1,6,si,si,baja resolución
OYL260416017,Juego de 4 llantas 18 pulgadas Vehículos europeos – OYL260416017,oyl260416017-18-vehiculos-europeos,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-015_d120915f-d016-43c4-9c3b-4c3c50412980.jpg,156,158,jpg,0.987,0.02,1,6,si,si,baja resolución
OYL260416018,Juego de 4 llantas 19 pulgadas Audi – OYL260416018,oyl260416018-19-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-015_909cbf2b-650d-470f-b70f-b867a5d9cc0c.jpg,156,158,jpg,0.987,0.02,1,6,si,si,baja resolución
OYL260416019,Juego de 4 llantas 19 pulgadas Vehículos europeos – OYL260416019,oyl260416019-19-vehiculos-europeos,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-015_7d964a5b-c148-48b4-82c5-117962dfab7d.jpg,156,158,jpg,0.987,0.02,1,6,si,si,baja resolución
OYL260416020,Juego de 4 llantas 20 pulgadas Audi – OYL260416020,oyl260416020-20-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-015_1e5558fa-2c82-4473-a12b-7cd0c74f4129.jpg,156,158,jpg,0.987,0.02,1,6,si,si,baja resolución
OYL260416021,Juego de 4 llantas 21 pulgadas Audi – OYL260416021,oyl260416021-21-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-015_670832a9-f4b4-4622-92ae-ebe10f53d965.jpg,156,158,jpg,0.987,0.02,1,6,si,si,baja resolución
OYL260416022,Juego de 4 llantas 18 pulgadas BMW – OYL260416022,oyl260416022-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-016_0322a0b6-eae1-4d1e-8e18-4101d8fe2c39.png,141,133,png,1.060,0.02,1,1,si,no,baja resolución
OYL260416023,Juego de 4 llantas 18 pulgadas BMW – OYL260416023,oyl260416023-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-017_fe57e593-28c8-4cd3-927d-3e90fc009dd8.jpg,156,151,jpg,1.033,0.02,1,1,si,no,baja resolución
OYL260416024,Juego de 4 llantas 20 pulgadas BMW – OYL260416024,oyl260416024-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-018_7ff437ae-bbce-4fbe-a8a7-8a31d8ab8c7f.jpg,133,121,jpg,1.099,0.02,1,2,si,si,baja resolución
OYL260416025,Juego de 4 llantas 20 pulgadas BMW – OYL260416025,oyl260416025-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-018_3ee07e97-8248-41ee-b0ca-d052922dad68.jpg,133,121,jpg,1.099,0.02,1,2,si,si,baja resolución
OYL260416026,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416026,oyl260416026-19-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-019_b8c43bc4-68e2-4f84-8cee-c5f24c97cc8c.png,199,204,png,0.975,0.04,1,8,si,si,baja resolución
OYL260416027,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416027,oyl260416027-19-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-019_e87a5d39-9107-4f4d-9563-d01756921af8.png,199,204,png,0.975,0.04,1,8,si,si,baja resolución
OYL260416028,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416028,oyl260416028-20-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-019_ac9fb3fb-1cd7-4c9b-a77c-b7d9e3dcaf49.png,199,204,png,0.975,0.04,1,8,si,si,baja resolución
OYL260416029,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416029,oyl260416029-20-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-019_3ba773eb-eafe-42a6-852d-ecc1704ff786.png,199,204,png,0.975,0.04,1,8,si,si,baja resolución
OYL260416030,Juego de 4 llantas 21 pulgadas Mercedes-Benz – OYL260416030,oyl260416030-21-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-019_d8893434-5605-4e35-8f12-7facb900f76f.png,199,204,png,0.975,0.04,1,8,si,si,baja resolución
OYL260416031,Juego de 4 llantas 21 pulgadas Mercedes-Benz – OYL260416031,oyl260416031-21-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-019_45e353fc-fa15-47c3-ac84-3286d9df9feb.png,199,204,png,0.975,0.04,1,8,si,si,baja resolución
OYL260416032,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416032,oyl260416032-22-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-019_2c9f286c-b086-4e20-8081-2bf370423f32.png,199,204,png,0.975,0.04,1,8,si,si,baja resolución
OYL260416033,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416033,oyl260416033-22-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-019_69cc1b10-ba9b-4ab3-a10f-762173f75002.png,199,204,png,0.975,0.04,1,8,si,si,baja resolución
OYL260416034,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416034,oyl260416034-19-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-020_d60832ed-ed22-408b-b769-35725ee580fd.png,174,165,png,1.055,0.03,1,6,si,si,baja resolución
OYL260416035,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416035,oyl260416035-19-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-020_f45e3f3e-64d7-4d7b-988b-784027545139.png,174,165,png,1.055,0.03,1,6,si,si,baja resolución
OYL260416036,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416036,oyl260416036-19-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-020_5f5261ae-eef6-4654-ae9d-71cc5275253f.png,174,165,png,1.055,0.03,1,6,si,si,baja resolución
OYL260416037,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416037,oyl260416037-20-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-020_d4e42b2b-3860-4031-9e36-384eb7ec85c8.png,174,165,png,1.055,0.03,1,6,si,si,baja resolución
OYL260416038,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416038,oyl260416038-22-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-020_c5df5745-fe47-47f4-8576-621428073406.png,174,165,png,1.055,0.03,1,6,si,si,baja resolución
OYL260416039,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416039,oyl260416039-22-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-020_c16baad5-b504-4fe7-9f9a-5003da45b47b.png,174,165,png,1.055,0.03,1,6,si,si,baja resolución
OYL260416040,Juego de 4 llantas 18 pulgadas BMW – OYL260416040,oyl260416040-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-021_f434ca44-d0c2-4d85-92c8-ea0a57f1fbb7.jpg,156,151,jpg,1.033,0.02,1,1,si,no,baja resolución
OYL260416041,Juego de 4 llantas 17 pulgadas BMW – OYL260416041,oyl260416041-17-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-022_0f849e56-e9f9-4d01-9aa1-caef1dfaf014.jpg,160,147,jpg,1.088,0.02,1,1,si,no,baja resolución
OYL260416042,Juego de 4 llantas 20 pulgadas BMW – OYL260416042,oyl260416042-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-023_48f87832-55f0-4fa8-83ce-bc34f6129541.jpg,190,190,jpg,1.000,0.04,1,7,si,si,baja resolución
OYL260416043,Juego de 4 llantas 20 pulgadas BMW – OYL260416043,oyl260416043-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-023_6d14f14f-790f-4d51-ba41-d4e7aa3f3b4f.jpg,190,190,jpg,1.000,0.04,1,7,si,si,baja resolución
OYL260416044,Juego de 4 llantas 20 pulgadas BMW – OYL260416044,oyl260416044-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-023_87895ae2-b42e-4dea-8da1-511d8aa9ecb6.jpg,190,190,jpg,1.000,0.04,1,7,si,si,baja resolución
OYL260416045,Juego de 4 llantas 20 pulgadas BMW – OYL260416045,oyl260416045-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-023_1c7d7ce5-338e-4f0c-9aa8-d45dcd575659.jpg,190,190,jpg,1.000,0.04,1,7,si,si,baja resolución
OYL260416046,Juego de 4 llantas 20 pulgadas BMW – OYL260416046,oyl260416046-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-023_86c6abd4-362b-4010-9dbc-389860260c3f.jpg,190,190,jpg,1.000,0.04,1,7,si,si,baja resolución
OYL260416047,Juego de 4 llantas 20 pulgadas BMW – OYL260416047,oyl260416047-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-023_3bc5c4ca-a3ec-4e5c-8d86-611aa496b3e1.jpg,190,190,jpg,1.000,0.04,1,7,si,si,baja resolución
OYL260416048,Juego de 4 llantas 20 pulgadas BMW – OYL260416048,oyl260416048-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-023_6e66855b-bae7-4d70-8200-0c91ec2f1420.jpg,190,190,jpg,1.000,0.04,1,7,si,si,baja resolución
OYL260416049,Juego de 4 llantas 20 pulgadas BMW – OYL260416049,oyl260416049-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-024_3a6cd131-c44a-4f89-bb12-d0a648a4fc1e.jpg,158,158,jpg,1.000,0.02,1,3,si,si,baja resolución
OYL260416050,Juego de 4 llantas 20 pulgadas BMW – OYL260416050,oyl260416050-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-024_369245cc-afe0-415c-9a26-5aa2abbe3cad.jpg,158,158,jpg,1.000,0.02,1,3,si,si,baja resolución
OYL260416051,Juego de 4 llantas 22 pulgadas BMW – OYL260416051,oyl260416051-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-024_ddf44797-ebaa-4f50-831d-068e4a05a0dc.jpg,158,158,jpg,1.000,0.02,1,3,si,si,baja resolución
OYL260416052,Juego de 4 llantas 22 pulgadas BMW – OYL260416052,oyl260416052-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-025_d252dd31-7876-41a2-b8a8-16892b315da2.png,186,160,png,1.163,0.03,1,3,si,si,baja resolución
OYL260416053,Juego de 4 llantas 22 pulgadas BMW – OYL260416053,oyl260416053-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-025_1571ed12-f153-47ff-9bbc-c0a132a83eb3.png,186,160,png,1.163,0.03,1,3,si,si,baja resolución
OYL260416054,Juego de 4 llantas 22 pulgadas BMW – OYL260416054,oyl260416054-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-025_6495cefe-8b77-445f-b88f-6e7eb46aa1ca.png,186,160,png,1.163,0.03,1,3,si,si,baja resolución
OYL260416055,Juego de 4 llantas 18 pulgadas Audi – OYL260416055,oyl260416055-18-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-026_cd57c487-f34a-4334-98f0-88a8a2563b01.png,199,156,png,1.276,0.03,1,2,si,si,baja resolución
OYL260416056,Juego de 4 llantas 19 pulgadas Audi – OYL260416056,oyl260416056-19-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-026_1e405512-2b1a-45b8-9cd0-7a79e229b04a.png,199,156,png,1.276,0.03,1,2,si,si,baja resolución
OYL260416057,Juego de 4 llantas 19 pulgadas Audi – OYL260416057,oyl260416057-19-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-027_c798c475-45aa-4ca3-b689-fc553f8a0cc0.jpg,190,167,jpg,1.138,0.03,1,1,si,no,baja resolución
OYL260416058,Juego de 4 llantas 18 pulgadas BMW – OYL260416058,oyl260416058-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-028_7ddfa580-c546-48ec-a9bf-1d72183b3dd5.jpg,144,142,jpg,1.014,0.02,1,1,si,no,baja resolución
OYL260416059,Juego de 4 llantas 17 pulgadas Audi – OYL260416059,oyl260416059-17-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-029_51d875cf-512e-470f-84f7-6b9611613125.png,176,167,png,1.054,0.03,1,6,si,si,baja resolución
OYL260416060,Juego de 4 llantas 17 pulgadas Audi – OYL260416060,oyl260416060-17-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-029_a9492e24-336c-42a0-a36a-4e79ce69615d.png,176,167,png,1.054,0.03,1,6,si,si,baja resolución
OYL260416061,Juego de 4 llantas 18 pulgadas Audi – OYL260416061,oyl260416061-18-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-029_6300e57d-9a56-488f-89ca-ddb1ebb4e6c5.png,176,167,png,1.054,0.03,1,6,si,si,baja resolución
OYL260416062,Juego de 4 llantas 19 pulgadas Audi – OYL260416062,oyl260416062-19-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-029_99806223-2168-4ddb-8a22-57266f8acc76.png,176,167,png,1.054,0.03,1,6,si,si,baja resolución
OYL260416063,Juego de 4 llantas 20 pulgadas Audi – OYL260416063,oyl260416063-20-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-029_087b539b-a681-4749-a62b-6cf6ea10f8fb.png,176,167,png,1.054,0.03,1,6,si,si,baja resolución
OYL260416064,Juego de 4 llantas 20 pulgadas Audi – OYL260416064,oyl260416064-20-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-029_4e201b25-930d-42a9-b1e7-7956f86048db.png,176,167,png,1.054,0.03,1,6,si,si,baja resolución
OYL260416065,Juego de 4 llantas 19 pulgadas BMW – OYL260416065,oyl260416065-19-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_af971f5b-cc48-4d6b-bf68-b3fe39cdf69f.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416066,Juego de 4 llantas 19 pulgadas BMW – OYL260416066,oyl260416066-19-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_f3d310dd-5de2-46e8-ae84-7de3d07b14f4.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416067,Juego de 4 llantas 20 pulgadas BMW – OYL260416067,oyl260416067-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_37dca5cb-faac-4799-8d8b-9b70c5790a1d.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416068,Juego de 4 llantas 20 pulgadas BMW – OYL260416068,oyl260416068-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_6a2200f8-6d16-494e-af1b-cdb69d73cce0.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416069,Juego de 4 llantas 20 pulgadas BMW – OYL260416069,oyl260416069-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_ce57f9e9-0944-4bd3-bbc2-3afb6d7f26f7.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416070,Juego de 4 llantas 20 pulgadas BMW – OYL260416070,oyl260416070-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_5c169912-e9af-48fe-8912-4576dc289c49.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416071,Juego de 4 llantas 20 pulgadas BMW – OYL260416071,oyl260416071-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_956bccf2-92d6-45db-b9aa-fce9f9caa03e.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416072,Juego de 4 llantas 20 pulgadas BMW – OYL260416072,oyl260416072-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_4b7bcf93-5d68-4731-b2bd-6b2c81dd60e4.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416073,Juego de 4 llantas 20 pulgadas BMW – OYL260416073,oyl260416073-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_1667c3a6-5bb0-455e-9693-55506ab1f9a7.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416074,Juego de 4 llantas 20 pulgadas BMW – OYL260416074,oyl260416074-20-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_535fb164-9e86-4484-a036-4cf74e3c03f2.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416075,Juego de 4 llantas 22 pulgadas BMW – OYL260416075,oyl260416075-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_437e9dc2-d288-4d8e-aa43-860a27945509.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416076,Juego de 4 llantas 22 pulgadas BMW – OYL260416076,oyl260416076-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_71d84a41-f631-4cbe-8e91-154b0f3fe801.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416077,Juego de 4 llantas 22 pulgadas BMW – OYL260416077,oyl260416077-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_9daabf2e-f850-4f49-bd26-3d825e182fda.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416078,Juego de 4 llantas 22 pulgadas BMW – OYL260416078,oyl260416078-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_9355d857-90fe-4d7f-af59-88ddc0958684.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416079,Juego de 4 llantas 22 pulgadas BMW – OYL260416079,oyl260416079-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_2f512070-157a-479d-b0a1-79a6e1d4f158.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416080,Juego de 4 llantas 22 pulgadas BMW – OYL260416080,oyl260416080-22-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-030_43249915-5ae9-4977-a3f0-dc3c39d3e8d0.png,204,188,png,1.085,0.04,1,16,si,si,baja resolución
OYL260416081,Juego de 4 llantas 18 pulgadas BMW – OYL260416081,oyl260416081-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-031_fce7b2fe-33c1-4611-9dca-265ec4fabe83.png,167,156,png,1.071,0.03,1,1,si,no,baja resolución
OYL260416082,Juego de 4 llantas 18 pulgadas BMW – OYL260416082,oyl260416082-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-032_41143a3f-bbd0-46b5-a75c-30aeb4ff3192.png,163,156,png,1.045,0.03,1,1,si,no,baja resolución
OYL260416083,Juego de 4 llantas 18 pulgadas BMW – OYL260416083,oyl260416083-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-033_176c7df8-5c45-4c5f-bfbb-27d7a98e1598.png,170,156,png,1.090,0.03,1,2,si,si,baja resolución
OYL260416084,Juego de 4 llantas 18 pulgadas BMW – OYL260416084,oyl260416084-18-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-033_25af0a47-a7a1-429e-982a-3c3266ad82e3.png,170,156,png,1.090,0.03,1,2,si,si,baja resolución
OYL260416085,Juego de 4 llantas 17 pulgadas BMW – OYL260416085,oyl260416085-17-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-034_309bf903-7899-41be-8823-b9d5d77a79ad.png,165,160,png,1.031,0.03,1,3,si,si,baja resolución
OYL260416086,Juego de 4 llantas 19 pulgadas BMW – OYL260416086,oyl260416086-19-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-034_dae3f041-c674-49dc-9e0b-065a8dd03b7c.png,165,160,png,1.031,0.03,1,3,si,si,baja resolución
OYL260416087,Juego de 4 llantas 19 pulgadas BMW – OYL260416087,oyl260416087-19-bmw,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-034_b850172d-7416-49f9-b290-c2d5ccdf63e8.png,165,160,png,1.031,0.03,1,3,si,si,baja resolución
OYL260416088,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416088,oyl260416088-18-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-035_39e0d4cf-f642-4001-b73c-312f80e42cdd.png,154,156,png,0.987,0.02,1,1,si,no,baja resolución
OYL260416089,Juego de 4 llantas 19 pulgadas Audi – OYL260416089,oyl260416089-19-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-036_082edc50-938c-43db-939d-be6a09b9d401.png,190,167,png,1.138,0.03,1,4,no,si,baja resolución
OYL260416090,Juego de 4 llantas 19 pulgadas Audi – OYL260416090,oyl260416090-19-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-036_30235fb2-f965-48e1-b6ef-ed2d6a9e32ac.png,190,167,png,1.138,0.03,1,4,si,si,baja resolución
OYL260416091,Juego de 4 llantas 20 pulgadas Audi – OYL260416091,oyl260416091-20-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-036_4acb95fe-d362-4624-b5f6-86b712d7e6fa.png,190,167,png,1.138,0.03,1,4,si,si,baja resolución
OYL260416092,Juego de 4 llantas 20 pulgadas Audi – OYL260416092,oyl260416092-20-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-036_cc467d4b-083c-42a4-b30d-96c7c67f840c.png,190,167,png,1.138,0.03,1,4,si,si,baja resolución
OYL260416093,Juego de 4 llantas 20 pulgadas Audi – OYL260416093,oyl260416093-20-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-037_efe718f4-31e6-454a-8158-8245f446c919.png,183,163,png,1.123,0.03,1,1,si,no,baja resolución
