familia,sku,titulo,handle,diametro,anchura,pcd,et,buje_mm,acabado_codigo_proveedor,pvp_actual_eur,peso_estimado_juego_kg,texto_alternativo_imagen,etiquetas,estado
SJW-038,OYL260416094,"SJW-038 – 17x7.5"" | 5x112 | Acabado MB+L",sjw-038-17x7-5-5x112-et35-mb-l,17,7.5,5x112,35,66.45,MB+L,699.00,40.0,"Llanta de aleación SJW-038, medida 17x7.5 pulgadas, anclaje 5x112",llantas|llantas-17|5x112|et-35|acabado-mb-l|diseno-sjw-038|juego-de-4,BORRADOR (no activado)
SJW-043,OYL260416128,"SJW-043 – 18x9.0"" | 5x112 | Acabado MB",sjw-043-18x9-0-5x112-et42-mb,18,9.0,5x112,42,66.5,MB,799.00,44.0,"Llanta de aleación SJW-043, medida 18x9.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-42|acabado-mb|diseno-sjw-043|juego-de-4,BORRADOR (no activado)
SJW-043,OYL260416129,"SJW-043 – 19x8.5"" | 5x112 | Acabado MB",sjw-043-19x8-5-5x112-et36-mb,19,8.5,5x112,36,66.5,MB,899.00,48.0,"Llanta de aleación SJW-043, medida 19x8.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-36|acabado-mb|diseno-sjw-043|juego-de-4,BORRADOR (no activado)
SJW-043,OYL260416130,"SJW-043 – 19x9.5"" | 5x112 | Acabado MB",sjw-043-19x9-5-5x112-et43-mb,19,9.5,5x112,43,66.5,MB,899.00,48.0,"Llanta de aleación SJW-043, medida 19x9.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-43|acabado-mb|diseno-sjw-043|juego-de-4,BORRADOR (no activado)
SJW-043,OYL260416131,"SJW-043 – 20x8.5"" | 5x112 | Acabado MB",sjw-043-20x8-5-5x112-et36-mb,20,8.5,5x112,36,66.5,MB,999.00,52.0,"Llanta de aleación SJW-043, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-36|acabado-mb|diseno-sjw-043|juego-de-4,BORRADOR (no activado)
SJW-043,OYL260416132,"SJW-043 – 20x9.5"" | 5x112 | Acabado MB",sjw-043-20x9-5-5x112-et43-mb,20,9.5,5x112,43,66.5,MB,999.00,52.0,"Llanta de aleación SJW-043, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-43|acabado-mb|diseno-sjw-043|juego-de-4,BORRADOR (no activado)
SJW-043,OYL260416133,"SJW-043 – 21x9.0"" | 5x112 | Acabado MB",sjw-043-21x9-0-5x112-et34-mb,21,9.0,5x112,34,66.5,MB,1099.00,56.0,"Llanta de aleación SJW-043, medida 21x9.0 pulgadas, anclaje 5x112",llantas|llantas-21|5x112|et-34|acabado-mb|diseno-sjw-043|juego-de-4,BORRADOR (no activado)
SJW-043,OYL260416134,"SJW-043 – 21x10.0"" | 5x112 | Acabado MB",sjw-043-21x10-0-5x112-et48-mb,21,10.0,5x112,48,66.5,MB,1099.00,56.0,"Llanta de aleación SJW-043, medida 21x10.0 pulgadas, anclaje 5x112",llantas|llantas-21|5x112|et-48|acabado-mb|diseno-sjw-043|juego-de-4,BORRADOR (no activado)
SJW-044,OYL260416135,"SJW-044 – 19x8.5"" | 5x112 | Acabado MB",sjw-044-19x8-5-5x112-et36-mb,19,8.5,5x112,36,66.5,MB,899.00,48.0,"Llanta de aleación SJW-044, medida 19x8.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-36|acabado-mb|diseno-sjw-044|juego-de-4,BORRADOR (no activado)
SJW-044,OYL260416136,"SJW-044 – 19x9.5"" | 5x112 | Acabado MB",sjw-044-19x9-5-5x112-et43-mb,19,9.5,5x112,43,66.5,MB,899.00,48.0,"Llanta de aleación SJW-044, medida 19x9.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-43|acabado-mb|diseno-sjw-044|juego-de-4,BORRADOR (no activado)
SJW-044,OYL260416137,"SJW-044 – 20x8.5"" | 5x112 | Acabado MB",sjw-044-20x8-5-5x112-et36-mb,20,8.5,5x112,36,66.5,MB,999.00,52.0,"Llanta de aleación SJW-044, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-36|acabado-mb|diseno-sjw-044|juego-de-4,BORRADOR (no activado)
SJW-044,OYL260416138,"SJW-044 – 20x9.5"" | 5x112 | Acabado MB",sjw-044-20x9-5-5x112-et45-mb,20,9.5,5x112,45,66.5,MB,999.00,52.0,"Llanta de aleación SJW-044, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-45|acabado-mb|diseno-sjw-044|juego-de-4,BORRADOR (no activado)
SJW-044,OYL260416141,"SJW-044 – 21x10.0"" | 5x112 | Acabado MB",sjw-044-21x10-0-5x112-et45-mb,21,10.0,5x112,45,66.5,MB,1099.00,56.0,"Llanta de aleación SJW-044, medida 21x10.0 pulgadas, anclaje 5x112",llantas|llantas-21|5x112|et-45|acabado-mb|diseno-sjw-044|juego-de-4,BORRADOR (no activado)
SJW-044,OYL260416142,"SJW-044 – 21x11.0"" | 5x112 | Acabado MB",sjw-044-21x11-0-5x112-et42-mb,21,11.0,5x112,42,66.5,MB,1099.00,56.0,"Llanta de aleación SJW-044, medida 21x11.0 pulgadas, anclaje 5x112",llantas|llantas-21|5x112|et-42|acabado-mb|diseno-sjw-044|juego-de-4,BORRADOR (no activado)
SJW-044,OYL260416143,"SJW-044 – 22x9.5"" | 5x112 | Acabado MB",sjw-044-22x9-5-5x112-et45-mb,22,9.5,5x112,45,66.5,MB,1249.00,60.0,"Llanta de aleación SJW-044, medida 22x9.5 pulgadas, anclaje 5x112",llantas|llantas-22|5x112|et-45|acabado-mb|diseno-sjw-044|juego-de-4,BORRADOR (no activado)
SJW-044,OYL260416145,"SJW-044 – 22x9.5"" | 5x112 | Acabado MG",sjw-044-22x9-5-5x112-et45-mg,22,9.5,5x112,45,66.5,MG,1249.00,60.0,"Llanta de aleación SJW-044, medida 22x9.5 pulgadas, anclaje 5x112",llantas|llantas-22|5x112|et-45|acabado-mg|diseno-sjw-044|juego-de-4,BORRADOR (no activado)
SJW-044,OYL260416144,"SJW-044 – 22x11.5"" | 5x112 | Acabado MB",sjw-044-22x11-5-5x112-et47-mb,22,11.5,5x112,47,66.5,MB,1249.00,60.0,"Llanta de aleación SJW-044, medida 22x11.5 pulgadas, anclaje 5x112",llantas|llantas-22|5x112|et-47|acabado-mb|diseno-sjw-044|juego-de-4,BORRADOR (no activado)
SJW-048,OYL260416157,"SJW-048 – 19x8.5"" | 5x112 | Acabado MB",sjw-048-19x8-5-5x112-et30-mb,19,8.5,5x112,30,66.5,MB,899.00,48.0,"Llanta de aleación SJW-048, medida 19x8.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-30|acabado-mb|diseno-sjw-048|juego-de-4,BORRADOR (no activado)
SJW-048,OYL260416159,"SJW-048 – 19x8.5"" | 5x120 | Acabado MB",sjw-048-19x8-5-5x120-et30-mb,19,8.5,5x120,30,72.6,MB,899.00,48.0,"Llanta de aleación SJW-048, medida 19x8.5 pulgadas, anclaje 5x120",llantas|llantas-19|5x120|et-30|acabado-mb|diseno-sjw-048|juego-de-4,BORRADOR (no activado)
SJW-048,OYL260416158,"SJW-048 – 19x9.5"" | 5x112 | Acabado MB",sjw-048-19x9-5-5x112-et35-mb,19,9.5,5x112,35,66.5,MB,899.00,48.0,"Llanta de aleación SJW-048, medida 19x9.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-35|acabado-mb|diseno-sjw-048|juego-de-4,BORRADOR (no activado)
SJW-048,OYL260416160,"SJW-048 – 19x9.5"" | 5x120 | Acabado MB",sjw-048-19x9-5-5x120-et35-mb,19,9.5,5x120,35,72.6,MB,899.00,48.0,"Llanta de aleación SJW-048, medida 19x9.5 pulgadas, anclaje 5x120",llantas|llantas-19|5x120|et-35|acabado-mb|diseno-sjw-048|juego-de-4,BORRADOR (no activado)
SJW-048,OYL260416161,"SJW-048 – 20x8.5"" | 5x112 | Acabado MB",sjw-048-20x8-5-5x112-et25-mb,20,8.5,5x112,25,66.5,MB,999.00,52.0,"Llanta de aleación SJW-048, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-25|acabado-mb|diseno-sjw-048|juego-de-4,BORRADOR (no activado)
SJW-048,OYL260416162,"SJW-048 – 20x8.5"" | 5x120 | Acabado MB",sjw-048-20x8-5-5x120-et25-mb,20,8.5,5x120,25,72.6,MB,999.00,52.0,"Llanta de aleación SJW-048, medida 20x8.5 pulgadas, anclaje 5x120",llantas|llantas-20|5x120|et-25|acabado-mb|diseno-sjw-048|juego-de-4,BORRADOR (no activado)
SJW-048,OYL260416163,"SJW-048 – 20x9.5"" | 5x120 | Acabado MB",sjw-048-20x9-5-5x120-et35-mb,20,9.5,5x120,35,72.6,MB,999.00,52.0,"Llanta de aleación SJW-048, medida 20x9.5 pulgadas, anclaje 5x120",llantas|llantas-20|5x120|et-35|acabado-mb|diseno-sjw-048|juego-de-4,BORRADOR (no activado)
SJW-049,OYL260416165,"SJW-049 – 20x8.5"" | 5x120 | Acabado MB",sjw-049-20x8-5-5x120-et25-mb,20,8.5,5x120,25,72.6,MB,999.00,52.0,"Llanta de aleación SJW-049, medida 20x8.5 pulgadas, anclaje 5x120",llantas|llantas-20|5x120|et-25|acabado-mb|diseno-sjw-049|juego-de-4,BORRADOR (no activado)
SJW-049,OYL260416164,"SJW-049 – 20x9.5"" | 5x112 | Acabado MB",sjw-049-20x9-5-5x112-et40-mb,20,9.5,5x112,40,66.5,MB,999.00,52.0,"Llanta de aleación SJW-049, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-40|acabado-mb|diseno-sjw-049|juego-de-4,BORRADOR (no activado)
SJW-049,OYL260416166,"SJW-049 – 20x9.5"" | 5x120 | Acabado MB",sjw-049-20x9-5-5x120-et40-mb,20,9.5,5x120,40,72.6,MB,999.00,52.0,"Llanta de aleación SJW-049, medida 20x9.5 pulgadas, anclaje 5x120",llantas|llantas-20|5x120|et-40|acabado-mb|diseno-sjw-049|juego-de-4,BORRADOR (no activado)
SJW-049,OYL260416167,"SJW-049 – 21x9.0"" | 5x112 | Acabado MB",sjw-049-21x9-0-5x112-et24-mb,21,9.0,5x112,24,66.5,MB,1099.00,56.0,"Llanta de aleación SJW-049, medida 21x9.0 pulgadas, anclaje 5x112",llantas|llantas-21|5x112|et-24|acabado-mb|diseno-sjw-049|juego-de-4,BORRADOR (no activado)
SJW-049,OYL260416169,"SJW-049 – 21x9.0"" | 5x120 | Acabado MB",sjw-049-21x9-0-5x120-et24-mb,21,9.0,5x120,24,72.6,MB,1099.00,56.0,"Llanta de aleación SJW-049, medida 21x9.0 pulgadas, anclaje 5x120",llantas|llantas-21|5x120|et-24|acabado-mb|diseno-sjw-049|juego-de-4,BORRADOR (no activado)
SJW-049,OYL260416168,"SJW-049 – 21x10.5"" | 5x112 | Acabado MB",sjw-049-21x10-5-5x112-et44-mb,21,10.5,5x112,44,66.5,MB,1099.00,56.0,"Llanta de aleación SJW-049, medida 21x10.5 pulgadas, anclaje 5x112",llantas|llantas-21|5x112|et-44|acabado-mb|diseno-sjw-049|juego-de-4,BORRADOR (no activado)
SJW-049,OYL260416170,"SJW-049 – 21x10.5"" | 5x120 | Acabado MB",sjw-049-21x10-5-5x120-et44-mb,21,10.5,5x120,44,72.6,MB,1099.00,56.0,"Llanta de aleación SJW-049, medida 21x10.5 pulgadas, anclaje 5x120",llantas|llantas-21|5x120|et-44|acabado-mb|diseno-sjw-049|juego-de-4,BORRADOR (no activado)
SJW-059,OYL260416201,"SJW-059 – 19x8.0"" | 5x112 | Acabado B",sjw-059-19x8-0-5x112-et30-b,19,8.0,5x112,30,66.5,B,899.00,48.0,"Llanta de aleación SJW-059, medida 19x8.0 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-30|acabado-b|diseno-sjw-059|juego-de-4,BORRADOR (no activado)
SJW-059,OYL260416202,"SJW-059 – 19x9.0"" | 5x120 | Acabado B",sjw-059-19x9-0-5x120-et35-b,19,9.0,5x120,35,72.5,B,899.00,48.0,"Llanta de aleación SJW-059, medida 19x9.0 pulgadas, anclaje 5x120",llantas|llantas-19|5x120|et-35|acabado-b|diseno-sjw-059|juego-de-4,BORRADOR (no activado)
SJW-059,OYL260416203,"SJW-059 – 20x8.5"" | 5x112 | Acabado B",sjw-059-20x8-5-5x112-et30-b,20,8.5,5x112,30,66.5,B,999.00,52.0,"Llanta de aleación SJW-059, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-30|acabado-b|diseno-sjw-059|juego-de-4,BORRADOR (no activado)
SJW-059,OYL260416207,"SJW-059 – 20x8.5"" | 5x120 | Acabado B",sjw-059-20x8-5-5x120-et30-b,20,8.5,5x120,30,72.56,B,999.00,52.0,"Llanta de aleación SJW-059, medida 20x8.5 pulgadas, anclaje 5x120",llantas|llantas-20|5x120|et-30|acabado-b|diseno-sjw-059|juego-de-4,BORRADOR (no activado)
SJW-059,OYL260416205,"SJW-059 – 20x8.5"" | 5x112 | Acabado MB",sjw-059-20x8-5-5x112-et30-mb,20,8.5,5x112,30,66.5,MB,999.00,52.0,"Llanta de aleación SJW-059, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-30|acabado-mb|diseno-sjw-059|juego-de-4,BORRADOR (no activado)
SJW-059,OYL260416204,"SJW-059 – 20x9.5"" | 5x112 | Acabado B",sjw-059-20x9-5-5x112-et35-b,20,9.5,5x112,35,66.5,B,999.00,52.0,"Llanta de aleación SJW-059, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-35|acabado-b|diseno-sjw-059|juego-de-4,BORRADOR (no activado)
SJW-059,OYL260416208,"SJW-059 – 20x9.5"" | 5x120 | Acabado B",sjw-059-20x9-5-5x120-et35-b,20,9.5,5x120,35,72.56,B,999.00,52.0,"Llanta de aleación SJW-059, medida 20x9.5 pulgadas, anclaje 5x120",llantas|llantas-20|5x120|et-35|acabado-b|diseno-sjw-059|juego-de-4,BORRADOR (no activado)
SJW-059,OYL260416206,"SJW-059 – 20x9.5"" | 5x112 | Acabado MB",sjw-059-20x9-5-5x112-et35-mb,20,9.5,5x112,35,66.5,MB,999.00,52.0,"Llanta de aleación SJW-059, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-35|acabado-mb|diseno-sjw-059|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416285,"SJW-074 – 18x8.5"" | 5x112 | Acabado B",sjw-074-18x8-5-5x112-et30-b,18,8.5,5x112,30,66.56,B,799.00,44.0,"Llanta de aleación SJW-074, medida 18x8.5 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-30|acabado-b|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416284,"SJW-074 – 18x8.5"" | 5x112 | Acabado MB",sjw-074-18x8-5-5x112-et30-mb,18,8.5,5x112,30,66.56,MB,799.00,44.0,"Llanta de aleación SJW-074, medida 18x8.5 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-30|acabado-mb|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416283,"SJW-074 – 18x9.0"" | 5x120 | Acabado B",sjw-074-18x9-0-5x120-et35-b,18,9.0,5x120,35,72.56,B,799.00,44.0,"Llanta de aleación SJW-074, medida 18x9.0 pulgadas, anclaje 5x120",llantas|llantas-18|5x120|et-35|acabado-b|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416282,"SJW-074 – 18x9.0"" | 5x112 | Acabado MB",sjw-074-18x9-0-5x112-et35-mb,18,9.0,5x112,35,66.5,MB,799.00,44.0,"Llanta de aleación SJW-074, medida 18x9.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-35|acabado-mb|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416287,"SJW-074 – 19x8.5"" | 5x120 | Acabado MB",sjw-074-19x8-5-5x120-et30-mb,19,8.5,5x120,30,72.6,MB,899.00,48.0,"Llanta de aleación SJW-074, medida 19x8.5 pulgadas, anclaje 5x120",llantas|llantas-19|5x120|et-30|acabado-mb|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416289,"SJW-074 – 19x9.5"" | 5x120 | Acabado B",sjw-074-19x9-5-5x120-et35-b,19,9.5,5x120,35,72.6,B,899.00,48.0,"Llanta de aleación SJW-074, medida 19x9.5 pulgadas, anclaje 5x120",llantas|llantas-19|5x120|et-35|acabado-b|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
