familia,sku,handle,url_ficha,diametro,anchura,pcd,et,acabado_codigo_proveedor,precio_guardado_eur,precio_visible,estado_producto,canal,comprable
SJW-041,OYL260416124,sjw-041-20x8-5-5x112-et36-mib,https://5y82gi-yt.myshopify.com/products/sjw-041-20x8-5-5x112-et36-mib,20,8.5,5x112,36,MIB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416123,sjw-041-20x9-5-5x112-et43-mb,https://5y82gi-yt.myshopify.com/products/sjw-041-20x9-5-5x112-et43-mb,20,9.5,5x112,43,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416125,sjw-041-20x9-5-5x112-et43-mib,https://5y82gi-yt.myshopify.com/products/sjw-041-20x9-5-5x112-et43-mib,20,9.5,5x112,43,MIB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-043,OYL260416127,sjw-043-18x8-0-5x112-et36-mb,https://5y82gi-yt.myshopify.com/products/sjw-043-18x8-0-5x112-et36-mb,18,8.0,5x112,36,MB,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-043,OYL260416128,sjw-043-18x9-0-5x112-et42-mb,https://5y82gi-yt.myshopify.com/products/sjw-043-18x9-0-5x112-et42-mb,18,9.0,5x112,42,MB,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-043,OYL260416129,sjw-043-19x8-5-5x112-et36-mb,https://5y82gi-yt.myshopify.com/products/sjw-043-19x8-5-5x112-et36-mb,19,8.5,5x112,36,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-043,OYL260416130,sjw-043-19x9-5-5x112-et43-mb,https://5y82gi-yt.myshopify.com/products/sjw-043-19x9-5-5x112-et43-mb,19,9.5,5x112,43,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-043,OYL260416131,sjw-043-20x8-5-5x112-et36-mb,https://5y82gi-yt.myshopify.com/products/sjw-043-20x8-5-5x112-et36-mb,20,8.5,5x112,36,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-043,OYL260416132,sjw-043-20x9-5-5x112-et43-mb,https://5y82gi-yt.myshopify.com/products/sjw-043-20x9-5-5x112-et43-mb,20,9.5,5x112,43,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-043,OYL260416133,sjw-043-21x9-0-5x112-et34-mb,https://5y82gi-yt.myshopify.com/products/sjw-043-21x9-0-5x112-et34-mb,21,9.0,5x112,34,MB,1099.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-043,OYL260416134,sjw-043-21x10-0-5x112-et48-mb,https://5y82gi-yt.myshopify.com/products/sjw-043-21x10-0-5x112-et48-mb,21,10.0,5x112,48,MB,1099.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-044,OYL260416135,sjw-044-19x8-5-5x112-et36-mb,https://5y82gi-yt.myshopify.com/products/sjw-044-19x8-5-5x112-et36-mb,19,8.5,5x112,36,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-044,OYL260416136,sjw-044-19x9-5-5x112-et43-mb,https://5y82gi-yt.myshopify.com/products/sjw-044-19x9-5-5x112-et43-mb,19,9.5,5x112,43,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-044,OYL260416137,sjw-044-20x8-5-5x112-et36-mb,https://5y82gi-yt.myshopify.com/products/sjw-044-20x8-5-5x112-et36-mb,20,8.5,5x112,36,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-044,OYL260416138,sjw-044-20x9-5-5x112-et45-mb,https://5y82gi-yt.myshopify.com/products/sjw-044-20x9-5-5x112-et45-mb,20,9.5,5x112,45,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-044,OYL260416141,sjw-044-21x10-0-5x112-et45-mb,https://5y82gi-yt.myshopify.com/products/sjw-044-21x10-0-5x112-et45-mb,21,10.0,5x112,45,MB,1099.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-044,OYL260416142,sjw-044-21x11-0-5x112-et42-mb,https://5y82gi-yt.myshopify.com/products/sjw-044-21x11-0-5x112-et42-mb,21,11.0,5x112,42,MB,1099.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-044,OYL260416143,sjw-044-22x9-5-5x112-et45-mb,https://5y82gi-yt.myshopify.com/products/sjw-044-22x9-5-5x112-et45-mb,22,9.5,5x112,45,MB,1249.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-044,OYL260416145,sjw-044-22x9-5-5x112-et45-mg,https://5y82gi-yt.myshopify.com/products/sjw-044-22x9-5-5x112-et45-mg,22,9.5,5x112,45,MG,1249.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-044,OYL260416144,sjw-044-22x11-5-5x112-et47-mb,https://5y82gi-yt.myshopify.com/products/sjw-044-22x11-5-5x112-et47-mb,22,11.5,5x112,47,MB,1249.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-048,OYL260416157,sjw-048-19x8-5-5x112-et30-mb,https://5y82gi-yt.myshopify.com/products/sjw-048-19x8-5-5x112-et30-mb,19,8.5,5x112,30,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-048,OYL260416159,sjw-048-19x8-5-5x120-et30-mb,https://5y82gi-yt.myshopify.com/products/sjw-048-19x8-5-5x120-et30-mb,19,8.5,5x120,30,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-048,OYL260416158,sjw-048-19x9-5-5x112-et35-mb,https://5y82gi-yt.myshopify.com/products/sjw-048-19x9-5-5x112-et35-mb,19,9.5,5x112,35,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-048,OYL260416160,sjw-048-19x9-5-5x120-et35-mb,https://5y82gi-yt.myshopify.com/products/sjw-048-19x9-5-5x120-et35-mb,19,9.5,5x120,35,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-048,OYL260416161,sjw-048-20x8-5-5x112-et25-mb,https://5y82gi-yt.myshopify.com/products/sjw-048-20x8-5-5x112-et25-mb,20,8.5,5x112,25,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-048,OYL260416162,sjw-048-20x8-5-5x120-et25-mb,https://5y82gi-yt.myshopify.com/products/sjw-048-20x8-5-5x120-et25-mb,20,8.5,5x120,25,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-048,OYL260416163,sjw-048-20x9-5-5x120-et35-mb,https://5y82gi-yt.myshopify.com/products/sjw-048-20x9-5-5x120-et35-mb,20,9.5,5x120,35,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-049,OYL260416165,sjw-049-20x8-5-5x120-et25-mb,https://5y82gi-yt.myshopify.com/products/sjw-049-20x8-5-5x120-et25-mb,20,8.5,5x120,25,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-049,OYL260416164,sjw-049-20x9-5-5x112-et40-mb,https://5y82gi-yt.myshopify.com/products/sjw-049-20x9-5-5x112-et40-mb,20,9.5,5x112,40,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-049,OYL260416166,sjw-049-20x9-5-5x120-et40-mb,https://5y82gi-yt.myshopify.com/products/sjw-049-20x9-5-5x120-et40-mb,20,9.5,5x120,40,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-049,OYL260416167,sjw-049-21x9-0-5x112-et24-mb,https://5y82gi-yt.myshopify.com/products/sjw-049-21x9-0-5x112-et24-mb,21,9.0,5x112,24,MB,1099.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-049,OYL260416169,sjw-049-21x9-0-5x120-et24-mb,https://5y82gi-yt.myshopify.com/products/sjw-049-21x9-0-5x120-et24-mb,21,9.0,5x120,24,MB,1099.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-049,OYL260416168,sjw-049-21x10-5-5x112-et44-mb,https://5y82gi-yt.myshopify.com/products/sjw-049-21x10-5-5x112-et44-mb,21,10.5,5x112,44,MB,1099.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-049,OYL260416170,sjw-049-21x10-5-5x120-et44-mb,https://5y82gi-yt.myshopify.com/products/sjw-049-21x10-5-5x120-et44-mb,21,10.5,5x120,44,MB,1099.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-059,OYL260416201,sjw-059-19x8-0-5x112-et30-b,https://5y82gi-yt.myshopify.com/products/sjw-059-19x8-0-5x112-et30-b,19,8.0,5x112,30,B,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-059,OYL260416202,sjw-059-19x9-0-5x120-et35-b,https://5y82gi-yt.myshopify.com/products/sjw-059-19x9-0-5x120-et35-b,19,9.0,5x120,35,B,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-059,OYL260416203,sjw-059-20x8-5-5x112-et30-b,https://5y82gi-yt.myshopify.com/products/sjw-059-20x8-5-5x112-et30-b,20,8.5,5x112,30,B,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-059,OYL260416207,sjw-059-20x8-5-5x120-et30-b,https://5y82gi-yt.myshopify.com/products/sjw-059-20x8-5-5x120-et30-b,20,8.5,5x120,30,B,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-059,OYL260416205,sjw-059-20x8-5-5x112-et30-mb,https://5y82gi-yt.myshopify.com/products/sjw-059-20x8-5-5x112-et30-mb,20,8.5,5x112,30,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-059,OYL260416204,sjw-059-20x9-5-5x112-et35-b,https://5y82gi-yt.myshopify.com/products/sjw-059-20x9-5-5x112-et35-b,20,9.5,5x112,35,B,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-059,OYL260416208,sjw-059-20x9-5-5x120-et35-b,https://5y82gi-yt.myshopify.com/products/sjw-059-20x9-5-5x120-et35-b,20,9.5,5x120,35,B,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-059,OYL260416206,sjw-059-20x9-5-5x112-et35-mb,https://5y82gi-yt.myshopify.com/products/sjw-059-20x9-5-5x112-et35-mb,20,9.5,5x112,35,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416285,sjw-074-18x8-5-5x112-et30-b,https://5y82gi-yt.myshopify.com/products/sjw-074-18x8-5-5x112-et30-b,18,8.5,5x112,30,B,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416284,sjw-074-18x8-5-5x112-et30-mb,https://5y82gi-yt.myshopify.com/products/sjw-074-18x8-5-5x112-et30-mb,18,8.5,5x112,30,MB,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416283,sjw-074-18x9-0-5x120-et35-b,https://5y82gi-yt.myshopify.com/products/sjw-074-18x9-0-5x120-et35-b,18,9.0,5x120,35,B,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416282,sjw-074-18x9-0-5x112-et35-mb,https://5y82gi-yt.myshopify.com/products/sjw-074-18x9-0-5x112-et35-mb,18,9.0,5x112,35,MB,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416287,sjw-074-19x8-5-5x120-et30-mb,https://5y82gi-yt.myshopify.com/products/sjw-074-19x8-5-5x120-et30-mb,19,8.5,5x120,30,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416289,sjw-074-19x9-5-5x120-et35-b,https://5y82gi-yt.myshopify.com/products/sjw-074-19x9-5-5x120-et35-b,19,9.5,5x120,35,B,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416286,sjw-074-19x9-5-5x112-et35-mb,https://5y82gi-yt.myshopify.com/products/sjw-074-19x9-5-5x112-et35-mb,19,9.5,5x112,35,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416288,sjw-074-19x9-5-5x120-et35-mb,https://5y82gi-yt.myshopify.com/products/sjw-074-19x9-5-5x120-et35-mb,19,9.5,5x120,35,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416290,sjw-074-20x8-5-5x112-et25-b,https://5y82gi-yt.myshopify.com/products/sjw-074-20x8-5-5x112-et25-b,20,8.5,5x112,25,B,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416292,sjw-074-20x8-5-5x120-et30-b,https://5y82gi-yt.myshopify.com/products/sjw-074-20x8-5-5x120-et30-b,20,8.5,5x120,30,B,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416291,sjw-074-20x9-5-5x112-et35-b,https://5y82gi-yt.myshopify.com/products/sjw-074-20x9-5-5x112-et35-b,20,9.5,5x112,35,B,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-074,OYL260416293,sjw-074-20x9-5-5x120-et35-b,https://5y82gi-yt.myshopify.com/products/sjw-074-20x9-5-5x120-et35-b,20,9.5,5x120,35,B,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-124,OYL260416426,sjw-124-19x8-5-5x112-et36-mg,https://5y82gi-yt.myshopify.com/products/sjw-124-19x8-5-5x112-et36-mg,19,8.5,5x112,36,MG,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-124,OYL260416427,sjw-124-19x9-5-5x112-et43-mg,https://5y82gi-yt.myshopify.com/products/sjw-124-19x9-5-5x112-et43-mg,19,9.5,5x112,43,MG,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-124,OYL260416428,sjw-124-20x8-5-5x112-et36-mg,https://5y82gi-yt.myshopify.com/products/sjw-124-20x8-5-5x112-et36-mg,20,8.5,5x112,36,MG,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-124,OYL260416429,sjw-124-20x9-5-5x112-et43-mg,https://5y82gi-yt.myshopify.com/products/sjw-124-20x9-5-5x112-et43-mg,20,9.5,5x112,43,MG,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
