posicion,familia,puntuacion,p_imagen,p_ficha,p_medidas,p_pcd,p_precio,p_sku,p_estetica,p_stock,motivo,num_medidas,num_sku,diametros,pcds,acabados,marcas,calidad_imagenes,problemas,problemas_globales,estado_final
,wheel-design-107,66.4,11.9,20.0,7.5,5.0,10.0,10.0,2.0,0.0,Descartada: 4 imágenes por debajo de 800x800,4,4,19/20,5x112,MIYB,mercedes-benz,"mediana 593px, mínima 593px",4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
6,wheel-design-040,65.9,17.5,14.0,9.4,5.0,10.0,10.0,0.0,0.0,"Seleccionada: 5 medidas (18/19/20""), PCD 5x112, acabados MB, MG, imagen mediana 873px, ficha técnica completa en los 9 productos.",5,9,18/19/20,5x112,MB MG,mercedes-benz,"mediana 873px, mínima 873px",ninguno de calidad,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 9 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,SELECCIONADA — NO PUBLICADA (precio y transporte bloqueantes a nivel de tienda)
,wheel-design-050,65.6,17.8,14.0,3.8,10.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas,2,3,19,5x112 5x120,B MB,bmw,"mediana 892px, mínima 892px",solo 2 medidas distintas,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-042,64.9,18.0,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas,1,1,19,5x112,MB,mercedes-benz,"mediana 902px, mínima 902px",solo 1 medidas distintas,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-020,64.8,3.3,20.0,7.5,10.0,10.0,10.0,4.0,0.0,Descartada: 6 imágenes por debajo de 800x800,4,6,19/20/22,5x112 5x130,MIYB MIYB+R MYB,mercedes-benz,"mediana 165px, mínima 165px",6 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-019,64.1,4.0,20.0,13.1,5.0,10.0,10.0,2.0,0.0,Descartada: 8 imágenes por debajo de 800x800,7,8,19/20/21/22,5x112,MB MIYB,mercedes-benz,"mediana 199px, mínima 199px",8 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-059,63.3,11.8,14.0,7.5,10.0,10.0,10.0,0.0,0.0,Descartada: 8 imágenes por debajo de 800x800,4,8,19/20,5x112 5x120,B MB,bmw,"mediana 591px, mínima 591px",8 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 8 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-072,61.9,3.7,20.0,11.2,5.0,10.0,10.0,2.0,0.0,Descartada: 16 imágenes por debajo de 800x800,6,16,19/20/21/22/23,5x112,B B+P MATTE BLACK MB MB+X,audi,"mediana 187px, mínima 187px",16 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-015,61.5,3.1,17.0,9.4,10.0,10.0,10.0,2.0,0.0,Descartada: 6 imágenes por debajo de 800x800,5,6,17/18/19/20/21,5x112 5x114.3,MB,audi,"mediana 156px, mínima 156px",6 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-065,61.2,3.7,20.0,7.5,10.0,10.0,10.0,0.0,0.0,Descartada: 7 imágenes por debajo de 800x800,4,7,20/22,5x112 5x120,MB,bmw,"mediana 183px, mínima 183px",7 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-081,60.7,3.6,14.0,13.1,10.0,10.0,10.0,0.0,0.0,Descartada: 10 imágenes por debajo de 800x800,7,10,18/19/20,5x112 5x120,B MB,bmw,"mediana 182px, mínima 182px",10 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 10 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-113,60.1,6.5,14.0,5.6,10.0,10.0,10.0,4.0,0.0,Descartada: solo 3 medidas distintas; 6 imágenes por debajo de 800x800,3,6,20/22,5x112 5x130,MATT BLACK MACHINED MB MG,mercedes-benz,"mediana 325px, mínima 325px",solo 3 medidas distintas; 6 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 6 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-130,59.8,17.0,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas,2,2,20,5x112,MB,bmw,"mediana 849px, mínima 849px",solo 2 medidas distintas,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-077,59.7,4.1,20.0,5.6,10.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 4 imágenes por debajo de 800x800,3,4,18/19,5x112 5x120,MB,bmw,"mediana 205px, mínima 205px",solo 3 medidas distintas; 4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-125,59.6,16.8,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas,2,2,20,5x112,MB,bmw,"mediana 841px, mínima 841px",solo 2 medidas distintas,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-120,59.2,12.3,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,20,5x112,MB,bmw,"mediana 615px, mínima 615px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-066,59.1,3.9,14.0,11.2,10.0,10.0,10.0,0.0,0.0,Descartada: 9 imágenes por debajo de 800x800,6,9,18/19/20,5x112 5x120,MB MG,bmw,"mediana 197px, mínima 197px",9 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 9 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-061,58.6,3.0,20.0,5.6,10.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 4 imágenes por debajo de 800x800,3,4,21/22,5x112 5x120,MB,bmw,"mediana 151px, mínima 151px",solo 3 medidas distintas; 4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-103,58.6,12.0,16.0,5.6,5.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 3 imágenes por debajo de 800x800,3,3,20/21/22,5x112,MB,audi,"mediana 600px, mínima 600px",solo 3 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-124,58.4,11.9,14.0,7.5,5.0,10.0,10.0,0.0,0.0,Descartada: 4 imágenes por debajo de 800x800,4,4,19/20,5x112,MG,mercedes-benz,"mediana 596px, mínima 596px",4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-111,57.4,12.6,14.0,3.8,5.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,20,5x112,MIYB,mercedes-benz,"mediana 628px, mínima 628px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-025,57.0,3.2,20.0,3.8,10.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 3 imágenes por debajo de 800x800,2,3,22,5x112 5x120,B MB,bmw,"mediana 160px, mínima 160px",solo 2 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-099,56.8,3.6,15.0,11.2,5.0,10.0,10.0,2.0,0.0,Descartada: 6 imágenes por debajo de 800x800,6,6,17/18/19/20,5x112,MIYB,mercedes-benz,"mediana 179px, mínima 179px",6 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 5 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-053,56.8,4.3,20.0,7.5,5.0,10.0,10.0,0.0,0.0,Descartada: 4 imágenes por debajo de 800x800,4,4,19/20,5x112,MB,mercedes-benz,"mediana 213px, mínima 213px",4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-011,56.4,13.5,14.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MYB,mercedes-benz,"mediana 675px, mínima 675px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-121,56.2,13.4,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,19,5x112,MB,bmw,"mediana 672px, mínima 672px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-122,56.2,13.4,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,19,5x112,MB,bmw,"mediana 671px, mínima 671px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-062,56.1,4.0,14.0,13.1,5.0,10.0,10.0,0.0,0.0,Descartada: 7 imágenes por debajo de 800x800,7,7,18/19/20/21,5x112,MB,mercedes-benz,"mediana 200px, mínima 200px",7 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 7 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-029,55.8,3.3,20.0,7.5,5.0,10.0,10.0,0.0,0.0,Descartada: 6 imágenes por debajo de 800x800,4,6,17/18/19/20,5x112,MB MG,audi,"mediana 167px, mínima 167px",6 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-089,55.8,9.2,14.0,5.6,5.0,10.0,10.0,2.0,0.0,Descartada: solo 3 medidas distintas; 3 imágenes por debajo de 800x800,3,3,19/20,5x112,MIYB,mercedes-benz,"mediana 462px, mínima 462px",solo 3 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-068,55.7,3.8,20.0,1.9,10.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 2 imágenes por debajo de 800x800,1,2,22,5x112 5x120,MB,bmw,"mediana 188px, mínima 188px",solo 1 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-088,55.3,3.8,14.0,7.5,10.0,10.0,10.0,0.0,0.0,Descartada: 4 imágenes por debajo de 800x800,4,4,19/20,5x112 5x120,B MB,bmw,"mediana 191px, mínima 191px",4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-126,54.7,11.9,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,21/22,5x112,MG,mercedes-benz,"mediana 595px, mínima 595px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-060,54.6,3.7,17.0,1.9,10.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 2 imágenes por debajo de 800x800,1,2,19,5x112 5x114.3,MBI,audi,"mediana 183px, mínima 183px",solo 1 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-070,54.5,3.0,14.0,7.5,10.0,10.0,10.0,0.0,0.0,Descartada: 5 imágenes por debajo de 800x800,4,5,17/18,5x112 5x120,B MB,bmw,"mediana 148px, mínima 148px",5 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 5 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-073,54.3,3.7,20.0,5.6,5.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 6 imágenes por debajo de 800x800,3,6,18/20/21,5x112,B MB,audi,"mediana 183px, mínima 183px",solo 3 medidas distintas; 6 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-101,54.2,3.4,20.0,3.8,5.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 3 imágenes por debajo de 800x800,2,3,20/22,5x112,MATTE BLACK MBI+C W,audi,"mediana 172px, mínima 172px",solo 2 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-055,54.0,3.0,18.5,7.5,5.0,10.0,10.0,0.0,0.0,Descartada: 4 imágenes por debajo de 800x800,4,4,17/18/19/21,5x112,MB,audi,"mediana 149px, mínima 149px",4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-064,54.0,4.2,14.0,3.8,10.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 4 imágenes por debajo de 800x800,2,4,19,5x112 5x120,SMH,bmw,"mediana 211px, mínima 211px",solo 2 medidas distintas; 4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-112,53.5,12.6,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,19,5x112,MB,audi,"mediana 630px, mínima 630px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-054,53.4,3.8,14.0,5.6,10.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 4 imágenes por debajo de 800x800,3,4,19/20,5x112 5x120,MB,bmw,"mediana 189px, mínima 189px",solo 3 medidas distintas; 4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-052,53.4,3.6,14.0,3.8,10.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,17/18,5x100 5x112,MB,volkswagen,"mediana 181px, mínima 181px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-076,53.3,3.7,14.0,5.6,10.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 5 imágenes por debajo de 800x800,3,5,18/19,5x112 5x120,MB,bmw,"mediana 184px, mínima 184px",solo 3 medidas distintas; 5 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 5 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-102,53.2,11.8,12.6,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800; 1 productos con algún campo técnico ausente,2,2,20/21,5x112,B,audi,"mediana 591px, mínima 591px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800; 1 productos con algún campo técnico ausente,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-119,52.7,6.2,14.0,7.5,5.0,10.0,10.0,0.0,0.0,Descartada: 4 imágenes por debajo de 800x800,4,4,21/22,5x112,MG,mercedes-benz,"mediana 310px, mínima 310px",4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-067,52.7,2.9,14.0,3.8,10.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 3 imágenes por debajo de 800x800,2,3,18,5x112 5x114.3,MB,mercedes-benz,"mediana 144px, mínima 144px",solo 2 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-105,52.7,11.8,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,20,5x112,MB,audi,"mediana 592px, mínima 592px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-127,52.7,11.8,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MB,volkswagen,"mediana 592px, mínima 592px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
