sku,familia,producto_original_handle,producto_original_id,variante_original_id,producto_nuevo_handle,producto_nuevo_id,variante_nueva_id,medida,montaje,acabado,precio_guardado_eur,url_original,url_nueva,resultado
OYL260416110,SJW-040,sjw-040-20x8-5-5x112-et36-mg,10898628116813,54779880440141,sjw-040,10904755962189,54793322856781,"20 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MG,999.00,/products/sjw-040-20x8-5-5x112-et36-mg,/products/sjw-040?variant=54793322856781,Migrado
OYL260416111,SJW-040,sjw-040-20x8-5-5x112-et36-mb,10898628215117,54779880505677,sjw-040,10904755962189,54793322824013,"20 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MB,999.00,/products/sjw-040-20x8-5-5x112-et36-mb,/products/sjw-040?variant=54793322824013,Migrado
OYL260416112,SJW-040,sjw-040-20x9-5-5x112-et43-mb,10898628247885,54779880636749,sjw-040,10904755962189,54793322889549,"20 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MB,999.00,/products/sjw-040-20x9-5-5x112-et43-mb,/products/sjw-040?variant=54793322889549,Migrado
OYL260416113,SJW-041,sjw-041-18x8-0-5x112-et40-mbi,10898628313421,54779880833357,sjw-041,10904756289869,54793324233037,"18 × 8,0""","5x112 · ET40 · Buje 66,5 mm",MBI,799.00,/products/sjw-041-18x8-0-5x112-et40-mbi,/products/sjw-041?variant=54793324233037,Migrado
OYL260416114,SJW-041,sjw-041-18x9-0-5x112-et45-mbi,10898628346189,54779880866125,sjw-041,10904756289869,54793324331341,"18 × 9,0""","5x112 · ET45 · Buje 66,5 mm",MBI,799.00,/products/sjw-041-18x9-0-5x112-et45-mbi,/products/sjw-041?variant=54793324331341,Migrado
OYL260416115,SJW-041,sjw-041-18x8-0-5x112-et40-mb,10898628411725,54779881062733,sjw-041,10904756289869,54793324200269,"18 × 8,0""","5x112 · ET40 · Buje 66,5 mm",MB,799.00,/products/sjw-041-18x8-0-5x112-et40-mb,/products/sjw-041?variant=54793324200269,Migrado
OYL260416116,SJW-041,sjw-041-18x9-0-5x112-et45-mb,10898628477261,54779881128269,sjw-041,10904756289869,54793324298573,"18 × 9,0""","5x112 · ET45 · Buje 66,5 mm",MB,799.00,/products/sjw-041-18x9-0-5x112-et45-mb,/products/sjw-041?variant=54793324298573,Migrado
OYL260416117,SJW-041,sjw-041-18x8-0-5x112-et35-mbi,10898628510029,54779881161037,sjw-041,10904756289869,54793324265805,"18 × 8,0""","5x112 · ET35 · Buje 66,6 mm",MBI,799.00,/products/sjw-041-18x8-0-5x112-et35-mbi,/products/sjw-041?variant=54793324265805,Migrado
OYL260416118,SJW-041,sjw-041-19x8-0-5x112-et36-mbi,10898628575565,54779881357645,sjw-041,10904756289869,54793324396877,"19 × 8,0""","5x112 · ET36 · Buje 66,5 mm",MBI,899.00,/products/sjw-041-19x8-0-5x112-et36-mbi,/products/sjw-041?variant=54793324396877,Migrado
OYL260416119,SJW-041,sjw-041-19x9-0-5x112-et42-mbi,10898628608333,54779881390413,sjw-041,10904756289869,54793324462413,"19 × 9,0""","5x112 · ET42 · Buje 66,5 mm",MBI,899.00,/products/sjw-041-19x9-0-5x112-et42-mbi,/products/sjw-041?variant=54793324462413,Migrado
OYL260416120,SJW-041,sjw-041-19x8-0-5x112-et36-mb,10898628673869,54779881521485,sjw-041,10904756289869,54793324364109,"19 × 8,0""","5x112 · ET36 · Buje 66,5 mm",MB,899.00,/products/sjw-041-19x8-0-5x112-et36-mb,/products/sjw-041?variant=54793324364109,Migrado
OYL260416121,SJW-041,sjw-041-19x9-0-5x112-et42-mb,10898628739405,54779881652557,sjw-041,10904756289869,54793324429645,"19 × 9,0""","5x112 · ET42 · Buje 66,5 mm",MB,899.00,/products/sjw-041-19x9-0-5x112-et42-mb,/products/sjw-041?variant=54793324429645,Migrado
OYL260416122,SJW-041,sjw-041-20x8-5-5x112-et36-mb,10898628772173,54779881685325,sjw-041,10904756289869,54793324495181,"20 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MB,999.00,/products/sjw-041-20x8-5-5x112-et36-mb,/products/sjw-041?variant=54793324495181,Migrado
OYL260416123,SJW-041,sjw-041-20x9-5-5x112-et43-mb,10898628837709,54779881881933,sjw-041,10904756289869,54793324560717,"20 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MB,999.00,/products/sjw-041-20x9-5-5x112-et43-mb,/products/sjw-041?variant=54793324560717,Migrado
OYL260416124,SJW-041,sjw-041-20x8-5-5x112-et36-mib,10898628903245,54779881914701,sjw-041,10904756289869,54793324527949,"20 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MIB,999.00,/products/sjw-041-20x8-5-5x112-et36-mib,/products/sjw-041?variant=54793324527949,Migrado
OYL260416125,SJW-041,sjw-041-20x9-5-5x112-et43-mib,10898628968781,54779882144077,sjw-041,10904756289869,54793324593485,"20 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MIB,999.00,/products/sjw-041-20x9-5-5x112-et43-mib,/products/sjw-041?variant=54793324593485,Migrado
OYL260416127,SJW-043,sjw-043-18x8-0-5x112-et36-mb,10898629099853,54779882701133,sjw-043,10904757043533,54793331441997,"18 × 8,0""","5x112 · ET36 · Buje 66,5 mm",MB,799.00,/products/sjw-043-18x8-0-5x112-et36-mb,/products/sjw-043?variant=54793331441997,Migrado
OYL260416128,SJW-043,sjw-043-18x9-0-5x112-et42-mb,10898629132621,54779882897741,sjw-043,10904757043533,54793331474765,"18 × 9,0""","5x112 · ET42 · Buje 66,5 mm",MB,799.00,/products/sjw-043-18x9-0-5x112-et42-mb,/products/sjw-043?variant=54793331474765,Migrado
OYL260416129,SJW-043,sjw-043-19x8-5-5x112-et36-mb,10898629198157,54779883258189,sjw-043,10904757043533,54793331507533,"19 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MB,899.00,/products/sjw-043-19x8-5-5x112-et36-mb,/products/sjw-043?variant=54793331507533,Migrado
OYL260416130,SJW-043,sjw-043-19x9-5-5x112-et43-mb,10898629230925,54779883290957,sjw-043,10904757043533,54793331540301,"19 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MB,899.00,/products/sjw-043-19x9-5-5x112-et43-mb,/products/sjw-043?variant=54793331540301,Migrado
OYL260416131,SJW-043,sjw-043-20x8-5-5x112-et36-mb,10898629296461,54779883422029,sjw-043,10904757043533,54793331573069,"20 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MB,999.00,/products/sjw-043-20x8-5-5x112-et36-mb,/products/sjw-043?variant=54793331573069,Migrado
OYL260416132,SJW-043,sjw-043-20x9-5-5x112-et43-mb,10898629361997,54779883487565,sjw-043,10904757043533,54793331605837,"20 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MB,999.00,/products/sjw-043-20x9-5-5x112-et43-mb,/products/sjw-043?variant=54793331605837,Migrado
OYL260416133,SJW-043,sjw-043-21x9-0-5x112-et34-mb,10898629394765,54779883520333,sjw-043,10904757043533,54793331638605,"21 × 9,0""","5x112 · ET34 · Buje 66,5 mm",MB,1099.00,/products/sjw-043-21x9-0-5x112-et34-mb,/products/sjw-043?variant=54793331638605,Migrado
OYL260416134,SJW-043,sjw-043-21x10-0-5x112-et48-mb,10898629460301,54779883684173,sjw-043,10904757043533,54793331671373,"21 × 10,0""","5x112 · ET48 · Buje 66,5 mm",MB,1099.00,/products/sjw-043-21x10-0-5x112-et48-mb,/products/sjw-043?variant=54793331671373,Migrado
OYL260416135,SJW-044,sjw-044-19x8-5-5x112-et36-mb,10898629493069,54779883716941,sjw-044,10904758452557,54793340191053,"19 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MB,899.00,/products/sjw-044-19x8-5-5x112-et36-mb,/products/sjw-044?variant=54793340191053,Migrado
OYL260416136,SJW-044,sjw-044-19x9-5-5x112-et43-mb,10898629558605,54779883782477,sjw-044,10904758452557,54793340223821,"19 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MB,899.00,/products/sjw-044-19x9-5-5x112-et43-mb,/products/sjw-044?variant=54793340223821,Migrado
OYL260416137,SJW-044,sjw-044-20x8-5-5x112-et36-mb,10898629624141,54779884142925,sjw-044,10904758452557,54793340256589,"20 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MB,999.00,/products/sjw-044-20x8-5-5x112-et36-mb,/products/sjw-044?variant=54793340256589,Migrado
OYL260416138,SJW-044,sjw-044-20x9-5-5x112-et45-mb,10898629656909,54779884175693,sjw-044,10904758452557,54793340289357,"20 × 9,5""","5x112 · ET45 · Buje 66,5 mm",MB,999.00,/products/sjw-044-20x9-5-5x112-et45-mb,/products/sjw-044?variant=54793340289357,Migrado
OYL260416141,SJW-044,sjw-044-21x10-0-5x112-et45-mb,10898629853517,54779884667213,sjw-044,10904758452557,54793340322125,"21 × 10,0""","5x112 · ET45 · Buje 66,5 mm",MB,1099.00,/products/sjw-044-21x10-0-5x112-et45-mb,/products/sjw-044?variant=54793340322125,Migrado
OYL260416142,SJW-044,sjw-044-21x11-0-5x112-et42-mb,10898629919053,54779884699981,sjw-044,10904758452557,54793340354893,"21 × 11,0""","5x112 · ET42 · Buje 66,5 mm",MB,1099.00,/products/sjw-044-21x11-0-5x112-et42-mb,/products/sjw-044?variant=54793340354893,Migrado
OYL260416143,SJW-044,sjw-044-22x9-5-5x112-et45-mb,10898629984589,54779885781325,sjw-044,10904758452557,54793340387661,"22 × 9,5""","5x112 · ET45 · Buje 66,5 mm",MB,1249.00,/products/sjw-044-22x9-5-5x112-et45-mb,/products/sjw-044?variant=54793340387661,Migrado
OYL260416144,SJW-044,sjw-044-22x11-5-5x112-et47-mb,10898630017357,54779885814093,sjw-044,10904758452557,54793340453197,"22 × 11,5""","5x112 · ET47 · Buje 66,5 mm",MB,1249.00,/products/sjw-044-22x11-5-5x112-et47-mb,/products/sjw-044?variant=54793340453197,Migrado
OYL260416145,SJW-044,sjw-044-22x9-5-5x112-et45-mg,10898630050125,54779885846861,sjw-044,10904758452557,54793340420429,"22 × 9,5""","5x112 · ET45 · Buje 66,5 mm",MG,1249.00,/products/sjw-044-22x9-5-5x112-et45-mg,/products/sjw-044?variant=54793340420429,Migrado
OYL260416157,SJW-048,sjw-048-19x8-5-5x112-et30-mb,10898630803789,54779887583565,sjw-048,10904758649165,54793343107405,"19 × 8,5""","5x112 · ET30 · Buje 66,5 mm",MB,899.00,/products/sjw-048-19x8-5-5x112-et30-mb,/products/sjw-048?variant=54793343107405,Migrado
OYL260416158,SJW-048,sjw-048-19x9-5-5x112-et35-mb,10898630869325,54779887616333,sjw-048,10904758649165,54793343172941,"19 × 9,5""","5x112 · ET35 · Buje 66,5 mm",MB,899.00,/products/sjw-048-19x9-5-5x112-et35-mb,/products/sjw-048?variant=54793343172941,Migrado
OYL260416159,SJW-048,sjw-048-19x8-5-5x120-et30-mb,10898630902093,54779887812941,sjw-048,10904758649165,54793343140173,"19 × 8,5""","5x120 · ET30 · Buje 72,6 mm",MB,899.00,/products/sjw-048-19x8-5-5x120-et30-mb,/products/sjw-048?variant=54793343140173,Migrado
OYL260416160,SJW-048,sjw-048-19x9-5-5x120-et35-mb,10898630967629,54779888009549,sjw-048,10904758649165,54793343205709,"19 × 9,5""","5x120 · ET35 · Buje 72,6 mm",MB,899.00,/products/sjw-048-19x9-5-5x120-et35-mb,/products/sjw-048?variant=54793343205709,Migrado
OYL260416161,SJW-048,sjw-048-20x8-5-5x112-et25-mb,10898631000397,54779888042317,sjw-048,10904758649165,54793343238477,"20 × 8,5""","5x112 · ET25 · Buje 66,5 mm",MB,999.00,/products/sjw-048-20x8-5-5x112-et25-mb,/products/sjw-048?variant=54793343238477,Migrado
OYL260416162,SJW-048,sjw-048-20x8-5-5x120-et25-mb,10898631065933,54779888173389,sjw-048,10904758649165,54793343271245,"20 × 8,5""","5x120 · ET25 · Buje 72,6 mm",MB,999.00,/products/sjw-048-20x8-5-5x120-et25-mb,/products/sjw-048?variant=54793343271245,Migrado
OYL260416163,SJW-048,sjw-048-20x9-5-5x120-et35-mb,10898631131469,54779888369997,sjw-048,10904758649165,54793343304013,"20 × 9,5""","5x120 · ET35 · Buje 72,6 mm",MB,999.00,/products/sjw-048-20x9-5-5x120-et35-mb,/products/sjw-048?variant=54793343304013,Migrado
OYL260416164,SJW-049,sjw-049-20x9-5-5x112-et40-mb,10898631164237,54779888402765,sjw-049,10904759304525,54793344057677,"20 × 9,5""","5x112 · ET40 · Buje 66,5 mm",MB,999.00,/products/sjw-049-20x9-5-5x112-et40-mb,/products/sjw-049?variant=54793344057677,Migrado
OYL260416165,SJW-049,sjw-049-20x8-5-5x120-et25-mb,10898631229773,54779888599373,sjw-049,10904759304525,54793344024909,"20 × 8,5""","5x120 · ET25 · Buje 72,6 mm",MB,999.00,/products/sjw-049-20x8-5-5x120-et25-mb,/products/sjw-049?variant=54793344024909,Migrado
OYL260416166,SJW-049,sjw-049-20x9-5-5x120-et40-mb,10898631295309,54779888795981,sjw-049,10904759304525,54793344090445,"20 × 9,5""","5x120 · ET40 · Buje 72,6 mm",MB,999.00,/products/sjw-049-20x9-5-5x120-et40-mb,/products/sjw-049?variant=54793344090445,Migrado
OYL260416167,SJW-049,sjw-049-21x9-0-5x112-et24-mb,10898631328077,54779888828749,sjw-049,10904759304525,54793344123213,"21 × 9,0""","5x112 · ET24 · Buje 66,5 mm",MB,1099.00,/products/sjw-049-21x9-0-5x112-et24-mb,/products/sjw-049?variant=54793344123213,Migrado
OYL260416168,SJW-049,sjw-049-21x10-5-5x112-et44-mb,10898631426381,54779889058125,sjw-049,10904759304525,54793344188749,"21 × 10,5""","5x112 · ET44 · Buje 66,5 mm",MB,1099.00,/products/sjw-049-21x10-5-5x112-et44-mb,/products/sjw-049?variant=54793344188749,Migrado
OYL260416169,SJW-049,sjw-049-21x9-0-5x120-et24-mb,10898631459149,54779889090893,sjw-049,10904759304525,54793344155981,"21 × 9,0""","5x120 · ET24 · Buje 72,6 mm",MB,1099.00,/products/sjw-049-21x9-0-5x120-et24-mb,/products/sjw-049?variant=54793344155981,Migrado
OYL260416170,SJW-049,sjw-049-21x10-5-5x120-et44-mb,10898631524685,54779889320269,sjw-049,10904759304525,54793344221517,"21 × 10,5""","5x120 · ET44 · Buje 72,6 mm",MB,1099.00,/products/sjw-049-21x10-5-5x120-et44-mb,/products/sjw-049?variant=54793344221517,Migrado
OYL260416201,SJW-059,sjw-059-19x8-0-5x112-et30-b,10898633261389,54779893449037,sjw-059,10905259475277,54794067509581,"19 × 8,0""","5x112 · ET30 · Buje 66,5 mm",B,899.00,/products/sjw-059-19x8-0-5x112-et30-b,/products/sjw-059?variant=54794067509581,Migrado
OYL260416202,SJW-059,sjw-059-19x9-0-5x120-et35-b,10898633326925,54779893645645,sjw-059,10905259475277,54794067542349,"19 × 9,0""","5x120 · ET35 · Buje 72,5 mm",B,899.00,/products/sjw-059-19x9-0-5x120-et35-b,/products/sjw-059?variant=54794067542349,Migrado
OYL260416203,SJW-059,sjw-059-20x8-5-5x112-et30-b,10898633359693,54779893678413,sjw-059,10905259475277,54794067575117,"20 × 8,5""","5x112 · ET30 · Buje 66,5 mm",B,999.00,/products/sjw-059-20x8-5-5x112-et30-b,/products/sjw-059?variant=54794067575117,Migrado
OYL260416204,SJW-059,sjw-059-20x9-5-5x112-et35-b,10898633425229,54779893875021,sjw-059,10905259475277,54794067673421,"20 × 9,5""","5x112 · ET35 · Buje 66,5 mm",B,999.00,/products/sjw-059-20x9-5-5x112-et35-b,/products/sjw-059?variant=54794067673421,Migrado
OYL260416205,SJW-059,sjw-059-20x8-5-5x112-et30-mb,10898633457997,54779893907789,sjw-059,10905259475277,54794067607885,"20 × 8,5""","5x112 · ET30 · Buje 66,5 mm",MB,999.00,/products/sjw-059-20x8-5-5x112-et30-mb,/products/sjw-059?variant=54794067607885,Migrado
OYL260416206,SJW-059,sjw-059-20x9-5-5x112-et35-mb,10898633523533,54779894104397,sjw-059,10905259475277,54794067706189,"20 × 9,5""","5x112 · ET35 · Buje 66,5 mm",MB,999.00,/products/sjw-059-20x9-5-5x112-et35-mb,/products/sjw-059?variant=54794067706189,Migrado
OYL260416207,SJW-059,sjw-059-20x8-5-5x120-et30-b,10898633589069,54779894169933,sjw-059,10905259475277,54794067640653,"20 × 8,5""","5x120 · ET30 · Buje 72,56 mm",B,999.00,/products/sjw-059-20x8-5-5x120-et30-b,/products/sjw-059?variant=54794067640653,Migrado
OYL260416208,SJW-059,sjw-059-20x9-5-5x120-et35-b,10898633654605,54779894366541,sjw-059,10905259475277,54794067738957,"20 × 9,5""","5x120 · ET35 · Buje 72,56 mm",B,999.00,/products/sjw-059-20x9-5-5x120-et35-b,/products/sjw-059?variant=54794067738957,Migrado
OYL260416282,SJW-074,sjw-074-18x9-0-5x112-et35-mb,10898638143821,54779905278285,sjw-074,10905259901261,54794070393165,"18 × 9,0""","5x112 · ET35 · Buje 66,5 mm",MB,799.00,/products/sjw-074-18x9-0-5x112-et35-mb,/products/sjw-074?variant=54794070393165,Migrado
OYL260416283,SJW-074,sjw-074-18x9-0-5x120-et35-b,10898638209357,54779905409357,sjw-074,10905259901261,54794070425933,"18 × 9,0""","5x120 · ET35 · Buje 72,56 mm",B,799.00,/products/sjw-074-18x9-0-5x120-et35-b,/products/sjw-074?variant=54794070425933,Migrado
OYL260416284,SJW-074,sjw-074-18x8-5-5x112-et30-mb,10898638242125,54779905442125,sjw-074,10905259901261,54794070360397,"18 × 8,5""","5x112 · ET30 · Buje 66,56 mm",MB,799.00,/products/sjw-074-18x8-5-5x112-et30-mb,/products/sjw-074?variant=54794070360397,Migrado
OYL260416285,SJW-074,sjw-074-18x8-5-5x112-et30-b,10898638307661,54779905507661,sjw-074,10905259901261,54794070327629,"18 × 8,5""","5x112 · ET30 · Buje 66,56 mm",B,799.00,/products/sjw-074-18x8-5-5x112-et30-b,/products/sjw-074?variant=54794070327629,Migrado
OYL260416286,SJW-074,sjw-074-19x9-5-5x112-et35-mb,10898638373197,54779905704269,sjw-074,10905259901261,54794070491469,"19 × 9,5""","5x112 · ET35 · Buje 66,5 mm",MB,899.00,/products/sjw-074-19x9-5-5x112-et35-mb,/products/sjw-074?variant=54794070491469,Migrado
OYL260416287,SJW-074,sjw-074-19x8-5-5x120-et30-mb,10898638471501,54779905900877,sjw-074,10905259901261,54794070458701,"19 × 8,5""","5x120 · ET30 · Buje 72,6 mm",MB,899.00,/products/sjw-074-19x8-5-5x120-et30-mb,/products/sjw-074?variant=54794070458701,Migrado
OYL260416288,SJW-074,sjw-074-19x9-5-5x120-et35-mb,10898638504269,54779905933645,sjw-074,10905259901261,54794070557005,"19 × 9,5""","5x120 · ET35 · Buje 72,6 mm",MB,899.00,/products/sjw-074-19x9-5-5x120-et35-mb,/products/sjw-074?variant=54794070557005,Migrado
OYL260416289,SJW-074,sjw-074-19x9-5-5x120-et35-b,10898638602573,54779906064717,sjw-074,10905259901261,54794070524237,"19 × 9,5""","5x120 · ET35 · Buje 72,6 mm",B,899.00,/products/sjw-074-19x9-5-5x120-et35-b,/products/sjw-074?variant=54794070524237,Migrado
OYL260416290,SJW-074,sjw-074-20x8-5-5x112-et25-b,10898638668109,54779906261325,sjw-074,10905259901261,54794070589773,"20 × 8,5""","5x112 · ET25 · Buje 66,5 mm",B,999.00,/products/sjw-074-20x8-5-5x112-et25-b,/products/sjw-074?variant=54794070589773,Migrado
OYL260416291,SJW-074,sjw-074-20x9-5-5x112-et35-b,10898638733645,54779906326861,sjw-074,10905259901261,54794070655309,"20 × 9,5""","5x112 · ET35 · Buje 66,5 mm",B,999.00,/products/sjw-074-20x9-5-5x112-et35-b,/products/sjw-074?variant=54794070655309,Migrado
OYL260416292,SJW-074,sjw-074-20x8-5-5x120-et30-b,10898638799181,54779906457933,sjw-074,10905259901261,54794070622541,"20 × 8,5""","5x120 · ET30 · Buje 72,56 mm",B,999.00,/products/sjw-074-20x8-5-5x120-et30-b,/products/sjw-074?variant=54794070622541,Migrado
OYL260416293,SJW-074,sjw-074-20x9-5-5x120-et35-b,10898638831949,54779906523469,sjw-074,10905259901261,54794070688077,"20 × 9,5""","5x120 · ET35 · Buje 72,56 mm",B,999.00,/products/sjw-074-20x9-5-5x120-et35-b,/products/sjw-074?variant=54794070688077,Migrado
OYL260416426,SJW-124,sjw-124-19x8-5-5x112-et36-mg,10898645877069,54779921924429,sjw-124,10904747966797,54793291432269,"19 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MG,899.00,/products/sjw-124-19x8-5-5x112-et36-mg,/products/sjw-124?variant=54793291432269,Migrado
OYL260416427,SJW-124,sjw-124-19x9-5-5x112-et43-mg,10898645942605,54779921989965,sjw-124,10904747966797,54793291465037,"19 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MG,899.00,/products/sjw-124-19x9-5-5x112-et43-mg,/products/sjw-124?variant=54793291465037,Migrado
OYL260416428,SJW-124,sjw-124-20x8-5-5x112-et36-mg,10898646040909,54779922219341,sjw-124,10904747966797,54793291497805,"20 × 8,5""","5x112 · ET36 · Buje 66,5 mm",MG,999.00,/products/sjw-124-20x8-5-5x112-et36-mg,/products/sjw-124?variant=54793291497805,Migrado
OYL260416429,SJW-124,sjw-124-20x9-5-5x112-et43-mg,10898646106445,54779922284877,sjw-124,10904747966797,54793291530573,"20 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MG,999.00,/products/sjw-124-20x9-5-5x112-et43-mg,/products/sjw-124?variant=54793291530573,Migrado
