sku,familia,handle,acabado_codigo_proveedor,archivo_imagen,huella_sha256_8,imagen_asignada_url,texto_alternativo,origen_de_la_correspondencia,resultado,nota
OYL260416108,SJW-040,sjw-040-19x9-5-5x112-et43-mg,MG,040.png,ff18768f,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-040_767655f8-c2b7-4acc-ba2b-100db646d5e9.png,"Juego de llantas 19X9.5 Mercedes-Benz, referencia OYL260416108","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-040) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-040 corresponde al acabado MB.
OYL260416109,SJW-040,sjw-040-19x9-5-5x112-et43-mb,MB,040.png,ff18768f,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-040_0215516e-0ef2-4c1f-9620-26fcf023ff55.png,"Juego de llantas 19X9.5 Mercedes-Benz, referencia OYL260416109","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-040) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-040 corresponde al acabado MB.
OYL260416110,SJW-040,sjw-040-20x8-5-5x112-et36-mg,MG,040.png,ff18768f,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-040_3f4cfd55-563d-440e-9a6c-9a42d481d256.png,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416110,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-040) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-040 corresponde al acabado MB.
OYL260416111,SJW-040,sjw-040-20x8-5-5x112-et36-mb,MB,040.png,ff18768f,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-040_b29d34a1-6e0a-414e-8e0e-66ee2bb2aca1.png,"Juego de llantas 20X8.5 Mercedes-Benz, referencia OYL260416111","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-040) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-040 corresponde al acabado MB.
OYL260416112,SJW-040,sjw-040-20x9-5-5x112-et43-mb,MB,040.png,ff18768f,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-040_6be9d283-0302-41de-9468-fdf63bec6f82.png,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416112,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-040) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-040 corresponde al acabado MB.
OYL260416113,SJW-041,sjw-041-18x8-0-5x112-et40-mbi,MBI,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_64e4b67f-647d-4462-a87b-122a32ae4c14.png,"Juego de llantas 18X8.0 Mercedes-Benz, referencia OYL260416113","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416114,SJW-041,sjw-041-18x9-0-5x112-et45-mbi,MBI,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_7c206ecd-6043-42dd-bfa2-9a77b15b78f7.png,"Juego de llantas 18X9.0 Mercedes-Benz, referencia OYL260416114","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416115,SJW-041,sjw-041-18x8-0-5x112-et40-mb,MB,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_5fa74d7c-5c1b-4ee4-82a9-12ad0ae67e23.png,"Juego de llantas 18X8.0 Mercedes-Benz, referencia OYL260416115","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416116,SJW-041,sjw-041-18x9-0-5x112-et45-mb,MB,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_0f508d94-9c95-411d-9b96-57a506b72337.png,"Juego de llantas 18X9.0 Mercedes-Benz, referencia OYL260416116","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416117,SJW-041,sjw-041-18x8-0-5x112-et35-mbi,MBI,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_9f557e66-0d0d-4596-8b27-cad8ca31d388.png,Juego de 4 llantas 18 pulgadas Vehículos europeos – OYL260416117,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416118,SJW-041,sjw-041-19x8-0-5x112-et36-mbi,MBI,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_f59a6d7e-7298-48cf-b53a-ea39116b21f3.png,"Juego de llantas 19X8.0 Mercedes-Benz, referencia OYL260416118","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416119,SJW-041,sjw-041-19x9-0-5x112-et42-mbi,MBI,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_f45e2401-8637-4431-b62f-d78803048bc8.png,"Juego de llantas 19X9.0 Mercedes-Benz, referencia OYL260416119","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416120,SJW-041,sjw-041-19x8-0-5x112-et36-mb,MB,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_281b79b4-7b6a-478e-b1bf-703d98010b91.png,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416120,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416121,SJW-041,sjw-041-19x9-0-5x112-et42-mb,MB,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_074a98a7-a577-4b31-aa84-768197d7f89b.png,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416121,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416122,SJW-041,sjw-041-20x8-5-5x112-et36-mb,MB,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_d57ff3ce-c3ae-4f13-abff-625db1f591b7.png,"Juego de llantas 20X8.5 Mercedes-Benz, referencia OYL260416122","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416123,SJW-041,sjw-041-20x9-5-5x112-et43-mb,MB,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_9dac4849-0938-4898-985d-684069ee4da6.png,"Juego de llantas 20X9.5 Mercedes-Benz, referencia OYL260416123","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416124,SJW-041,sjw-041-20x8-5-5x112-et36-mib,MIB,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_5efdd395-cad0-430f-8f14-32ecb6577dd9.png,"Juego de llantas 20X8.5 Mercedes-Benz, referencia OYL260416124","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416125,SJW-041,sjw-041-20x9-5-5x112-et43-mib,MIB,041.png,e0b4f4cf,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-041_f5b1defb-20e0-4ee8-bcfd-c51e8be7a2d6.png,"Juego de llantas 20X9.5 Mercedes-Benz, referencia OYL260416125","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-041) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-041 corresponde al acabado MBI.
OYL260416127,SJW-043,sjw-043-18x8-0-5x112-et36-mb,MB,043.png,57ee08dc,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-043_2d3e6443-6727-460c-9099-31c40ed0f53e.png,"Juego de llantas 18X8.0 Mercedes-Benz, referencia OYL260416127","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-043) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-043 corresponde al acabado MB.
OYL260416128,SJW-043,sjw-043-18x9-0-5x112-et42-mb,MB,043.png,57ee08dc,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-043_db3e9723-df8a-48dc-bc19-08d9402eac66.png,"Juego de llantas 18X9.0 Mercedes-Benz, referencia OYL260416128","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-043) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-043 corresponde al acabado MB.
OYL260416129,SJW-043,sjw-043-19x8-5-5x112-et36-mb,MB,043.png,57ee08dc,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-043_246da483-e9d6-4d60-a92c-d24178f48421.png,"Juego de llantas 19X8.5 Mercedes-Benz, referencia OYL260416129","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-043) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-043 corresponde al acabado MB.
OYL260416130,SJW-043,sjw-043-19x9-5-5x112-et43-mb,MB,043.png,57ee08dc,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-043_e5dff30c-289d-4a65-89cc-ed0883a9f447.png,"Juego de llantas 19X9.5 Mercedes-Benz, referencia OYL260416130","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-043) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-043 corresponde al acabado MB.
OYL260416131,SJW-043,sjw-043-20x8-5-5x112-et36-mb,MB,043.png,57ee08dc,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-043_4887dd6f-ad19-4b85-8f94-80299d84d3ff.png,"Juego de llantas 20X8.5 Mercedes-Benz, referencia OYL260416131","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-043) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-043 corresponde al acabado MB.
OYL260416132,SJW-043,sjw-043-20x9-5-5x112-et43-mb,MB,043.png,57ee08dc,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-043_0bb7f1d8-b7c4-4326-ae54-e99bae9ba159.png,"Juego de llantas 20X9.5 Mercedes-Benz, referencia OYL260416132","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-043) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-043 corresponde al acabado MB.
OYL260416133,SJW-043,sjw-043-21x9-0-5x112-et34-mb,MB,043.png,57ee08dc,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-043_68fc16a5-3985-46de-ba2b-a710db86f3dd.png,"Juego de llantas 21X9.0 Mercedes-Benz, referencia OYL260416133","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-043) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-043 corresponde al acabado MB.
OYL260416134,SJW-043,sjw-043-21x10-0-5x112-et48-mb,MB,043.png,57ee08dc,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-043_4ae9e0bb-7dde-405c-930d-debc0082ef35.png,"Juego de llantas 21X10 Mercedes-Benz, referencia OYL260416134","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-043) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-043 corresponde al acabado MB.
OYL260416135,SJW-044,sjw-044-19x8-5-5x112-et36-mb,MB,044.png,0f812671,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-044_7422b667-1185-483a-802b-0cf2b26825a5.png,"Juego de llantas 19X8.5 Mercedes-Benz, referencia OYL260416135","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-044) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-044 corresponde al acabado MB.
OYL260416136,SJW-044,sjw-044-19x9-5-5x112-et43-mb,MB,044.png,0f812671,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-044_ee49988c-a4eb-449d-b6fb-7627ab83c428.png,"Juego de llantas 19X9.5 Mercedes-Benz, referencia OYL260416136","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-044) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-044 corresponde al acabado MB.
OYL260416137,SJW-044,sjw-044-20x8-5-5x112-et36-mb,MB,044.png,0f812671,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-044_b3291c91-ece7-421d-9664-3bbd1f892ed6.png,"Juego de llantas 20X8.5 Mercedes-Benz, referencia OYL260416137","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-044) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-044 corresponde al acabado MB.
OYL260416138,SJW-044,sjw-044-20x9-5-5x112-et45-mb,MB,044.png,0f812671,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-044_9c20f822-a2ef-4161-85e7-3c29093472e9.png,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416138,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-044) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-044 corresponde al acabado MB.
OYL260416141,SJW-044,sjw-044-21x10-0-5x112-et45-mb,MB,044.png,0f812671,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-044_e48b78fc-6c70-4a76-b2dc-04be7c9c1ce5.png,Juego de 4 llantas 21 pulgadas Mercedes-Benz – OYL260416141,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-044) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-044 corresponde al acabado MB.
OYL260416142,SJW-044,sjw-044-21x11-0-5x112-et42-mb,MB,044.png,0f812671,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-044_5ec71541-3ce5-42a3-9b7c-e7f7e8eafc36.png,"Juego de llantas 21X11 Mercedes-Benz, referencia OYL260416142","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-044) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-044 corresponde al acabado MB.
OYL260416143,SJW-044,sjw-044-22x9-5-5x112-et45-mb,MB,044.png,0f812671,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-044_83acadb8-783b-4d9a-ac8f-6226a456db69.png,"Juego de llantas 22X9.5 Mercedes-Benz, referencia OYL260416143","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-044) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-044 corresponde al acabado MB.
OYL260416144,SJW-044,sjw-044-22x11-5-5x112-et47-mb,MB,044.png,0f812671,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-044_c5724f54-d096-40ae-9444-ed53d1c563bb.png,"Juego de llantas 22X11.5 Mercedes-Benz, referencia OYL260416144","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-044) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-044 corresponde al acabado MB.
OYL260416145,SJW-044,sjw-044-22x9-5-5x112-et45-mg,MG,044.png,0f812671,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-044_ac67e6d8-8cd2-4891-9c14-21e6306fe27a.png,"Juego de llantas 22X9.5 Mercedes-Benz, referencia OYL260416145","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-044) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-044 corresponde al acabado MB.
OYL260416157,SJW-048,sjw-048-19x8-5-5x112-et30-mb,MB,048.png,de7d7427,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-048_76026deb-7811-46b9-8f6b-b54265d7682d.png,"Juego de llantas 19X8.5 BMW, referencia OYL260416157","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-048) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-048 corresponde al acabado MB.
OYL260416158,SJW-048,sjw-048-19x9-5-5x112-et35-mb,MB,048.png,de7d7427,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-048_754367f5-4059-4e75-891e-284f764333d5.png,"Juego de llantas 19X9.5 BMW, referencia OYL260416158","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-048) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-048 corresponde al acabado MB.
