familia,sku,medida,peso_neto_por_llanta_kg,peso_del_juego_kg,numero_de_cajas,peso_bruto_por_caja_kg,dimensiones_por_caja_cm,estimacion_interna_kg,origen_de_la_estimacion,campo_peso_de_la_variante_en_shopify
SJW-040,OYL260416111,20x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-040,OYL260416110,20x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-040,OYL260416112,20x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416115,18x8.0 5x112 ET40,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416113,18x8.0 5x112 ET40,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416117,18x8.0 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416116,18x9.0 5x112 ET45,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416114,18x9.0 5x112 ET45,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416120,19x8.0 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416118,19x8.0 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416121,19x9.0 5x112 ET42,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416119,19x9.0 5x112 ET42,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416122,20x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416124,20x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416123,20x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-041,OYL260416125,20x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-043,OYL260416127,18x8.0 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-043,OYL260416128,18x9.0 5x112 ET42,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-043,OYL260416129,19x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-043,OYL260416130,19x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-043,OYL260416131,20x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-043,OYL260416132,20x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-043,OYL260416133,21x9.0 5x112 ET34,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),56.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",56.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-043,OYL260416134,21x10.0 5x112 ET48,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),56.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",56.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-044,OYL260416135,19x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-044,OYL260416136,19x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-044,OYL260416137,20x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-044,OYL260416138,20x9.5 5x112 ET45,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-044,OYL260416141,21x10.0 5x112 ET45,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),56.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",56.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-044,OYL260416142,21x11.0 5x112 ET42,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),56.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",56.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-044,OYL260416143,22x9.5 5x112 ET45,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),60.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",60.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-044,OYL260416145,22x9.5 5x112 ET45,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),60.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",60.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-044,OYL260416144,22x11.5 5x112 ET47,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),60.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",60.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-048,OYL260416157,19x8.5 5x112 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-048,OYL260416159,19x8.5 5x120 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-048,OYL260416158,19x9.5 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-048,OYL260416160,19x9.5 5x120 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-048,OYL260416161,20x8.5 5x112 ET25,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-048,OYL260416162,20x8.5 5x120 ET25,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-048,OYL260416163,20x9.5 5x120 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-049,OYL260416165,20x8.5 5x120 ET25,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-049,OYL260416164,20x9.5 5x112 ET40,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-049,OYL260416166,20x9.5 5x120 ET40,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-049,OYL260416167,21x9.0 5x112 ET24,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),56.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",56.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-049,OYL260416169,21x9.0 5x120 ET24,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),56.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",56.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-049,OYL260416168,21x10.5 5x112 ET44,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),56.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",56.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-049,OYL260416170,21x10.5 5x120 ET44,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),56.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",56.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-059,OYL260416201,19x8.0 5x112 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-059,OYL260416202,19x9.0 5x120 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-059,OYL260416203,20x8.5 5x112 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-059,OYL260416207,20x8.5 5x120 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-059,OYL260416205,20x8.5 5x112 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-059,OYL260416204,20x9.5 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-059,OYL260416208,20x9.5 5x120 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-059,OYL260416206,20x9.5 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416285,18x8.5 5x112 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416284,18x8.5 5x112 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
